Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
James Harden,SG,26.0,82.0,3125.0,25.3,0.598,35.4,8.8,1.4,2.2,15.9,32.5,10.7,2.6,13.3,0.204,6.4,0.2,6.6,6.8,2016
Gordon Hayward,SF,25.0,80.0,2893.0,18.3,0.559,18.2,8.0,0.8,1.7,12.5,25.7,5.5,3.4,8.9,0.147,2.4,0.2,2.6,3.3,2016
Kemba Walker,PG,25.0,81.0,2885.0,20.8,0.554,25.7,6.8,1.1,2.2,10.1,26.5,6.3,3.6,9.9,0.164,3.5,0.5,4.0,4.3,2016
Trevor Ariza,SF,30.0,81.0,2859.0,12.9,0.551,10.0,7.1,0.8,2.8,10.8,15.7,3.1,2.3,5.4,0.09,0.1,0.3,0.4,1.7,2016
Marcus Morris,SF,26.0,80.0,2856.0,12.7,0.531,11.0,7.7,0.6,1.2,11.6,18.4,2.9,2.5,5.4,0.091,-0.3,0.1,-0.2,1.3,2016
Khris Middleton,SG,24.0,79.0,2852.0,16.8,0.56,18.9,6.0,0.6,2.3,12.3,23.0,4.3,1.8,6.1,0.103,1.2,-0.5,0.6,1.9,2016
Kyle Lowry,PG,29.0,77.0,2851.0,22.2,0.578,29.9,7.3,1.0,2.9,13.7,26.1,8.0,3.7,11.6,0.196,4.7,1.1,5.8,5.7,2016
Andrew Wiggins,SF,20.0,81.0,2845.0,16.5,0.543,10.1,5.9,1.3,1.4,10.6,27.2,3.4,0.7,4.1,0.069,0.9,-2.2,-1.3,0.5,2016
Giannis Antetokounmpo,PG,21.0,80.0,2823.0,18.8,0.566,20.0,12.4,3.4,1.7,14.8,22.3,4.2,2.9,7.1,0.121,1.3,0.7,2.1,2.9,2016
Paul George,SF,25.0,81.0,2819.0,20.9,0.557,20.3,10.9,0.8,2.7,13.6,30.4,4.4,4.8,9.2,0.157,3.7,1.2,4.9,4.9,2016
Draymond Green,PF,25.0,81.0,2808.0,19.3,0.587,29.0,14.7,3.0,2.0,21.2,18.8,6.0,5.1,11.1,0.19,2.6,2.9,5.5,5.3,2016
DeMar DeRozan,SG,26.0,78.0,2804.0,21.5,0.55,20.8,7.1,0.6,1.5,9.5,29.8,7.5,2.4,9.9,0.169,3.2,-0.7,2.5,3.2,2016
Kentavious Caldwell-Pope,SG,22.0,76.0,2789.0,12.4,0.521,7.8,5.5,0.5,2.0,9.0,18.2,2.6,2.7,5.3,0.092,-1.1,0.8,-0.3,1.2,2016
John Wall,PG,25.0,77.0,2784.0,19.8,0.51,46.2,7.6,1.7,2.5,17.5,28.6,2.2,3.5,5.7,0.098,3.1,0.4,3.5,3.9,2016
CJ McCollum,SG,24.0,80.0,2780.0,17.7,0.544,21.6,5.0,0.6,1.7,11.4,27.1,4.4,1.7,6.0,0.104,2.3,-1.0,1.3,2.3,2016
Russell Westbrook,PG,27.0,80.0,2750.0,27.6,0.554,49.6,12.4,0.6,2.9,16.8,31.6,10.0,4.0,14.0,0.245,6.4,1.4,7.8,6.8,2016
Monta Ellis,SG,30.0,81.0,2734.0,13.7,0.504,22.2,5.4,1.1,2.7,15.4,21.2,0.4,3.9,4.3,0.075,-1.0,1.1,0.1,1.5,2016
LeBron James,SF,31.0,76.0,2709.0,27.5,0.588,36.0,11.8,1.5,2.0,13.2,31.4,9.6,4.0,13.6,0.242,7.0,2.0,9.0,7.5,2016
Joe Johnson,SF,34.0,81.0,2703.0,12.0,0.538,18.0,6.1,0.1,1.1,14.7,17.9,1.9,0.8,2.7,0.048,-0.6,-1.3,-1.9,0.1,2016
Joe Johnson,SF,34.0,57.0,1934.0,10.7,0.512,18.0,6.5,0.1,1.0,15.0,17.8,0.6,0.2,0.7,0.018,-1.2,-1.4,-2.6,-0.3,2016
Joe Johnson,SF,34.0,24.0,769.0,15.2,0.603,17.9,5.0,0.2,1.4,13.9,18.4,1.3,0.6,2.0,0.123,0.8,-1.0,-0.1,0.4,2016
Stephen Curry,PG,27.0,79.0,2700.0,31.5,0.669,33.7,8.6,0.4,3.0,12.9,32.6,13.8,4.1,17.9,0.318,10.3,1.6,11.9,9.5,2016
Damian Lillard,PG,25.0,75.0,2676.0,22.2,0.56,33.6,6.1,0.8,1.2,12.6,31.3,7.7,1.4,9.2,0.165,5.7,-1.3,4.4,4.3,2016
Andre Drummond,C,22.0,81.0,2666.0,21.2,0.499,4.4,24.5,3.2,2.3,10.5,24.1,2.0,5.5,7.4,0.133,0.8,0.3,1.1,2.0,2016
Klay Thompson,SG,25.0,80.0,2666.0,18.6,0.597,9.8,6.2,1.4,1.1,8.5,26.3,5.5,2.6,8.0,0.144,3.4,-1.6,1.8,2.5,2016
Paul Millsap,PF,30.0,81.0,2647.0,21.3,0.556,16.4,15.1,4.1,2.7,13.3,24.3,4.1,6.0,10.1,0.183,1.5,2.7,4.2,4.1,2016
Isaiah Thomas,PG,26.0,82.0,2644.0,21.5,0.562,32.7,4.9,0.3,1.7,11.9,29.6,7.2,2.5,9.7,0.177,4.9,-0.6,4.3,4.2,2016
Wesley Matthews,SF,29.0,78.0,2644.0,10.9,0.532,8.9,4.9,0.5,1.5,7.8,17.2,1.9,1.8,3.7,0.067,-0.9,-0.1,-1.0,0.6,2016
Al Horford,C,29.0,82.0,2631.0,19.4,0.565,16.7,12.4,3.6,1.3,8.8,20.6,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9,2016
Karl-Anthony Towns,C,20.0,82.0,2627.0,22.5,0.59,11.3,19.0,4.3,1.1,12.6,24.9,5.5,2.8,8.3,0.151,2.5,-0.4,2.2,2.7,2016
DeAndre Jordan,C,27.0,77.0,2598.0,20.6,0.628,5.3,22.2,5.4,1.0,12.1,15.4,6.0,5.5,11.5,0.213,1.5,1.3,2.8,3.2,2016
Kevin Durant,SF,27.0,72.0,2578.0,28.2,0.634,24.2,12.4,2.5,1.3,13.5,30.6,11.0,3.5,14.5,0.27,8.4,1.6,9.9,7.8,2016
Evan Fournier,SF,23.0,79.0,2566.0,14.6,0.587,12.8,4.9,0.1,1.9,11.4,20.1,4.0,1.7,5.7,0.106,0.1,-0.5,-0.3,1.1,2016
Jordan Clarkson,SG,23.0,79.0,2552.0,14.3,0.516,13.8,6.6,0.2,1.7,10.2,22.8,1.7,0.4,2.1,0.039,-0.1,-1.5,-1.6,0.2,2016
