Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Andrew Wiggins,SF,21.0,82.0,3048.0,16.5,0.534,10.6,6.3,0.8,1.4,9.4,29.0,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,2017
Karl-Anthony Towns,C,21.0,82.0,3030.0,25.9,0.618,13.2,19.4,2.9,0.9,11.3,27.5,9.9,2.8,12.7,0.201,5.5,-0.7,4.7,5.2,2017
James Harden,PG,27.0,81.0,2947.0,27.4,0.613,50.7,12.2,1.0,2.0,19.5,34.2,11.5,3.6,15.0,0.245,7.5,1.2,8.7,8.0,2017
Giannis Antetokounmpo,SF,22.0,80.0,2845.0,26.1,0.599,26.6,14.3,4.7,2.3,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,2017
John Wall,PG,26.0,78.0,2836.0,23.2,0.541,46.9,6.5,1.4,2.7,16.2,30.6,5.8,3.0,8.8,0.149,4.6,0.1,4.7,4.8,2017
Jimmy Butler,SF,27.0,76.0,2809.0,25.1,0.586,24.8,9.0,0.9,2.6,9.3,26.5,10.1,3.8,13.8,0.236,5.6,1.7,7.3,6.6,2017
Harrison Barnes,PF,24.0,79.0,2803.0,16.3,0.541,7.7,8.2,0.5,1.2,6.8,25.3,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,2017
Russell Westbrook,PG,28.0,81.0,2802.0,30.6,0.554,57.3,17.1,0.9,2.3,15.9,41.7,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3,2017
CJ McCollum,SG,25.0,80.0,2796.0,19.9,0.585,18.0,5.7,1.2,1.3,9.9,27.5,6.2,1.4,7.6,0.131,3.4,-1.4,2.0,2.8,2017
LeBron James,SF,32.0,74.0,2794.0,27.0,0.619,41.3,12.6,1.3,1.6,16.1,30.0,9.8,3.0,12.9,0.221,6.4,1.2,7.6,6.7,2017
Trevor Ariza,SF,31.0,80.0,2773.0,12.3,0.548,8.8,9.0,0.6,2.5,7.9,14.1,2.8,3.2,6.0,0.104,-0.1,1.1,1.0,2.1,2017
Rudy Gobert,C,24.0,81.0,2744.0,23.3,0.681,5.7,21.8,6.4,0.9,15.0,16.7,8.3,6.0,14.3,0.25,2.2,2.2,4.4,4.4,2017
Kemba Walker,PG,26.0,79.0,2739.0,21.3,0.569,29.1,6.2,0.7,1.6,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2,2017
Devin Booker,SG,20.0,78.0,2730.0,14.6,0.531,16.3,5.0,0.6,1.3,12.9,28.6,1.3,0.6,2.0,0.035,0.3,-2.3,-1.9,0.1,2017
Anthony Davis,C,23.0,75.0,2708.0,27.5,0.58,11.1,17.2,5.1,1.7,9.1,32.6,5.9,5.1,11.0,0.195,4.4,1.4,5.9,5.4,2017
Damian Lillard,PG,26.0,75.0,2694.0,24.1,0.586,28.7,7.6,0.6,1.3,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5.0,4.8,2017
Paul George,SF,26.0,75.0,2689.0,20.2,0.587,16.1,10.3,0.9,2.2,12.7,28.9,3.9,3.1,7.1,0.126,3.0,0.1,3.1,3.4,2017
Bradley Beal,SG,23.0,77.0,2684.0,20.1,0.604,16.2,5.0,0.7,1.5,9.6,26.5,6.9,1.6,8.5,0.152,4.2,-1.0,3.3,3.5,2017
Jeff Teague,PG,28.0,82.0,2657.0,19.2,0.574,36.4,7.0,1.1,1.9,16.5,22.1,5.7,2.4,8.1,0.146,2.3,-0.1,2.2,2.8,2017
