Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
DeMar DeRozan,SF,34.0,79.0,2989.0,19.7,0.584,21.8,6.4,1.5,1.5,7.7,25.8,7.0,2.2,9.2,0.147,2.1,-0.3,1.8,2.8,2024
Domantas Sabonis,C,27.0,82.0,2928.0,23.2,0.637,33.9,21.4,1.5,1.2,17.9,22.2,8.6,4.0,12.6,0.206,4.0,2.4,6.5,6.2,2024
Coby White,PG,23.0,79.0,2881.0,14.5,0.57,20.8,6.9,0.6,0.9,11.1,22.7,3.1,1.6,4.7,0.078,0.7,-1.3,-0.7,0.9,2024
Mikal Bridges,SF,27.0,82.0,2854.0,14.9,0.56,16.3,7.1,0.9,1.4,10.3,24.3,2.1,2.1,4.2,0.07,0.7,-1.0,-0.4,1.2,2024
Paolo Banchero,PF,21.0,80.0,2799.0,17.3,0.546,25.2,11.6,1.6,1.3,13.0,29.7,1.3,4.0,5.3,0.09,1.3,0.0,1.3,2.3,2024
Kevin Durant,PF,35.0,75.0,2791.0,21.2,0.626,22.2,10.0,2.9,1.2,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3,2024
Dejounte Murray,SG,27.0,78.0,2783.0,17.7,0.555,27.9,8.1,0.8,1.9,11.3,26.6,3.3,1.6,4.9,0.084,2.3,-0.6,1.7,2.6,2024
Anthony Edwards,SG,22.0,79.0,2770.0,19.7,0.575,24.6,8.8,1.3,1.8,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,2024
Nikola Jokić,C,28.0,79.0,2737.0,31.0,0.65,42.0,19.8,2.1,2.0,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,2024
Jalen Brunson,PG,27.0,77.0,2726.0,23.4,0.592,33.5,5.7,0.4,1.3,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4,2024
Josh Hart,SF,28.0,81.0,2707.0,11.8,0.522,16.3,14.0,0.8,1.4,13.9,13.5,2.0,3.6,5.7,0.1,-1.3,1.4,0.0,1.4,2024
Anthony Davis,C,30.0,76.0,2700.0,25.8,0.621,15.5,19.8,5.7,1.6,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9,2024
Fred VanVleet,PG,29.0,73.0,2684.0,16.7,0.568,31.1,5.6,2.0,1.8,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6,2024
De'Aaron Fox,PG,26.0,74.0,2659.0,20.1,0.567,25.2,7.2,1.1,2.7,10.1,31.0,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,2024
Pascal Siakam,PF,29.0,80.0,2657.0,19.7,0.601,19.4,11.9,0.8,1.1,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7,2024
Pascal Siakam,PF,29.0,39.0,1354.0,18.8,0.6,22.1,10.0,0.7,1.1,10.3,25.3,2.4,0.6,3.0,0.106,2.2,-0.8,1.4,1.2,2024
Pascal Siakam,PF,29.0,41.0,1303.0,20.7,0.602,16.5,13.9,0.9,1.1,7.4,25.2,3.0,0.9,3.9,0.143,3.0,-0.5,2.5,1.5,2024
Jayson Tatum,PF,25.0,74.0,2645.0,22.3,0.604,21.0,12.3,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7,2024
Austin Reaves,SG,25.0,82.0,2629.0,15.5,0.613,23.5,7.4,0.8,1.2,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6,2024
Tyrese Maxey,PG,23.0,70.0,2626.0,19.8,0.573,26.7,5.4,1.1,1.3,6.8,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4,2024
Luka Dončić,PG,24.0,70.0,2624.0,28.1,0.617,44.3,13.5,1.3,1.8,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,2024
Nikola Vučević,C,33.0,76.0,2610.0,17.7,0.54,15.2,17.1,2.4,1.0,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4,2024
Jalen Green,SG,21.0,82.0,2601.0,14.7,0.541,17.3,8.7,1.0,1.2,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1.0,2024
Rudy Gobert,C,31.0,76.0,2593.0,19.3,0.675,5.6,21.5,5.5,1.0,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5,2024
Keegan Murray,SF,23.0,77.0,2588.0,13.3,0.569,6.9,9.1,2.1,1.5,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8,2024
Miles Bridges,SF,25.0,69.0,2581.0,15.4,0.556,14.6,11.0,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6,2024
Damian Lillard,PG,33.0,73.0,2579.0,19.6,0.59,28.8,6.8,0.6,1.3,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7,2024
Giannis Antetokounmpo,PF,29.0,73.0,2567.0,29.9,0.649,32.7,17.9,2.6,1.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,2024
Michael Porter Jr.,SF,25.0,81.0,2565.0,15.5,0.601,6.7,12.2,1.8,0.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3,2024
Shai Gilgeous-Alexander,PG,25.0,75.0,2553.0,29.3,0.636,29.8,9.1,2.4,2.8,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,2024
Grayson Allen,SG,28.0,75.0,2513.0,13.8,0.679,12.1,6.6,1.6,1.3,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0,2024
LeBron James,PF,39.0,71.0,2504.0,23.7,0.63,37.5,11.5,1.3,1.7,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,2024
Paul George,PF,33.0,74.0,2502.0,19.3,0.613,16.1,8.8,1.3,2.2,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3,2024
Dennis Schröder,PG,30.0,80.0,2486.0,13.3,0.55,28.0,5.3,0.6,1.2,13.0,20.3,2.3,1.0,3.3,0.063,-0.5,-1.3,-1.8,0.1,2024
Dennis Schröder,PG,30.0,51.0,1559.0,13.9,0.559,28.0,4.9,0.5,1.4,11.7,19.4,2.0,0.5,2.5,0.076,-0.5,-1.3,-1.8,0.1,2024
Dennis Schröder,PG,30.0,29.0,927.0,12.3,0.535,28.0,6.0,0.9,0.9,15.0,21.8,0.3,0.5,0.8,0.042,-0.5,-1.4,-1.9,0.0,2024
D'Angelo Russell,PG,27.0,76.0,2484.0,16.0,0.588,27.6,5.3,1.3,1.3,11.8,23.0,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8,2024
James Harden,PG,34.0,72.0,2470.0,18.6,0.612,33.6,8.4,2.1,1.5,16.0,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8,2024
Devin Booker,PG,27.0,68.0,2447.0,21.9,0.611,31.2,7.1,1.0,1.2,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1,2024
Jarrett Allen,C,25.0,77.0,2442.0,21.8,0.664,13.2,18.7,3.0,1.1,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1,2024
Jabari Smith Jr.,PF,20.0,76.0,2424.0,13.8,0.571,7.1,13.6,2.3,1.0,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1.0,2024
Stephen Curry,PG,35.0,74.0,2421.0,20.6,0.616,24.7,7.4,1.0,1.1,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4,2024
Bam Adebayo,C,26.0,71.0,2416.0,19.8,0.576,18.9,17.3,2.7,1.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7,2024
Chet Holmgren,C,21.0,82.0,2413.0,20.4,0.632,11.6,15.0,7.3,1.1,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3,2024
Brook Lopez,C,35.0,79.0,2411.0,14.8,0.608,7.1,9.3,6.7,0.9,8.8,16.0,3.1,2.8,5.9,0.117,0.2,0.8,1.0,1.8,2024
Kentavious Caldwell-Pope,SG,30.0,76.0,2402.0,10.7,0.602,9.5,4.2,1.5,2.0,10.5,12.9,2.2,2.6,4.8,0.096,-2.1,0.7,-1.4,0.4,2024
Bogdan Bogdanović,SG,31.0,79.0,2401.0,14.7,0.569,14.9,6.2,1.0,1.9,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4,2024
Brandon Miller,SF,21.0,74.0,2383.0,13.0,0.552,11.6,7.4,1.6,1.4,10.2,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3,2024
Harrison Barnes,PF,31.0,82.0,2381.0,11.9,0.611,5.6,5.9,0.5,1.1,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1,2024
Derrick White,SG,29.0,73.0,2381.0,16.9,0.611,21.2,7.0,3.2,1.5,11.0,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5,2024
