Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
LaMarcus Aldridge,C,32.0,75.0,2509.0,25.0,0.57,11.3,14.0,3.0,0.9,6.8,29.1,7.4,3.6,10.9,0.209,4.3,-0.4,3.9,3.7,2018
Klay Thompson,SG,27.0,73.0,2506.0,16.0,0.598,11.2,6.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,0.094,1.7,-2.1,-0.4,1.0,2018
Carmelo Anthony,PF,33.0,78.0,2501.0,12.7,0.503,6.5,10.0,1.8,0.9,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0,2018
Steven Adams,C,24.0,76.0,2487.0,20.6,0.63,5.5,15.3,2.8,1.8,13.3,16.7,6.7,3.0,9.7,0.187,1.7,-0.6,1.1,2.0,2018
Taurean Prince,SF,23.0,82.0,2464.0,12.8,0.549,13.9,8.8,1.5,1.7,15.3,22.1,0.0,2.0,2.0,0.038,-0.5,-0.6,-1.1,0.6,2018
Bojan Bogdanović,SF,28.0,80.0,2464.0,13.9,0.605,7.1,6.2,0.3,1.1,10.1,19.0,3.8,1.6,5.4,0.105,0.5,-1.2,-0.7,0.8,2018
Dwight Howard,C,32.0,81.0,2463.0,20.5,0.577,7.1,22.2,4.4,1.0,15.1,24.2,2.9,3.9,6.8,0.132,-0.3,0.1,-0.1,1.2,2018
Kentavious Caldwell-Pope,SG,24.0,74.0,2458.0,13.2,0.561,9.4,8.4,0.5,2.1,9.9,16.9,2.6,2.7,5.3,0.103,-0.4,0.6,0.3,1.4,2018
Jayson Tatum,SF,19.0,80.0,2443.0,15.2,0.586,8.3,9.0,2.0,1.7,10.7,19.4,3.0,4.0,7.1,0.139,0.0,1.2,1.2,2.0,2018
Nikola Jokić,C,22.0,75.0,2443.0,24.4,0.603,29.6,18.5,2.1,1.8,15.5,24.2,7.8,2.9,10.7,0.211,5.3,1.6,6.9,5.5,2018
Otto Porter Jr.,SF,24.0,77.0,2432.0,18.3,0.602,10.1,11.4,1.5,2.4,7.4,18.4,5.0,3.1,8.1,0.161,2.6,1.0,3.5,3.4,2018
DeAndre Jordan,C,29.0,77.0,2424.0,20.2,0.648,7.1,26.5,2.4,0.8,16.1,15.2,6.0,3.4,9.4,0.186,1.7,-0.3,1.4,2.1,2018
Marc Gasol,C,33.0,73.0,2408.0,17.4,0.532,21.7,14.2,3.9,1.1,14.1,25.6,1.5,2.6,4.0,0.08,1.7,0.6,2.3,2.7,2018
Kyle Kuzma,PF,22.0,77.0,2401.0,14.2,0.549,9.1,10.7,1.1,1.0,11.0,22.5,1.5,2.3,3.8,0.077,0.3,-1.0,-0.7,0.8,2018
Goran Dragić,PG,31.0,75.0,2378.0,16.6,0.543,25.4,7.2,0.4,1.3,12.2,25.7,2.9,2.3,5.3,0.106,0.9,-0.6,0.3,1.4,2018
Dillon Brooks,SF,22.0,82.0,2350.0,9.8,0.531,9.3,6.3,0.7,1.6,12.8,18.5,0.1,1.1,1.2,0.025,-2.9,-1.1,-4.0,-1.2,2018
Wilson Chandler,SF,30.0,74.0,2346.0,10.9,0.542,9.4,9.6,1.4,0.9,11.9,14.3,2.1,1.2,3.3,0.067,-1.0,-1.1,-2.1,-0.1,2018
Kevin Durant,SF,29.0,68.0,2325.0,26.0,0.64,25.5,11.2,4.0,1.0,12.9,30.4,7.5,2.9,10.4,0.215,6.7,0.6,7.3,5.5,2018
Eric Bledsoe,PG,28.0,74.0,2322.0,19.7,0.582,25.7,7.1,1.5,3.2,16.1,26.1,3.1,2.5,5.6,0.116,2.3,0.3,2.5,2.6,2018
Eric Bledsoe,PG,28.0,71.0,2239.0,20.0,0.585,26.0,7.2,1.5,3.2,16.0,26.0,3.2,2.4,5.7,0.121,2.4,0.4,2.8,2.7,2018
Jeff Teague,PG,29.0,70.0,2311.0,16.4,0.553,30.6,5.2,0.9,2.2,16.4,20.6,3.4,1.4,4.9,0.101,1.1,-0.7,0.4,1.4,2018
Dario Šarić,PF,23.0,78.0,2310.0,15.8,0.582,13.0,12.1,0.7,1.1,13.1,20.9,3.8,2.8,6.6,0.137,1.8,-0.5,1.3,1.9,2018
Courtney Lee,SG,32.0,76.0,2310.0,13.0,0.564,11.3,5.4,0.6,1.7,9.4,16.9,2.7,1.2,3.9,0.082,-0.1,-0.2,-0.3,1.0,2018
Spencer Dinwiddie,PG,24.0,80.0,2306.0,15.9,0.527,35.0,6.0,0.7,1.4,11.8,20.3,4.3,1.4,5.7,0.118,1.3,-0.7,0.6,1.5,2018
Gary Harris,SG,23.0,67.0,2304.0,16.5,0.597,13.0,4.3,0.5,2.6,10.8,20.8,3.9,1.5,5.5,0.114,1.0,-0.2,0.8,1.7,2018
Draymond Green,PF,27.0,70.0,2287.0,16.1,0.556,29.0,13.1,3.1,2.0,22.5,17.2,2.6,3.4,6.1,0.127,0.9,1.9,2.8,2.8,2018
