Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Bradley Beal,SG,25.0,82.0,3028.0,20.8,0.581,24.1,7.4,1.6,1.9,11.0,28.4,5.9,1.7,7.6,0.12,3.8,-0.8,2.9,3.7,2019
James Harden,PG,29.0,78.0,2867.0,30.6,0.616,39.5,10.0,1.7,2.7,14.5,40.5,11.4,3.8,15.2,0.254,9.4,1.6,11.0,9.3,2019
Kemba Walker,PG,28.0,82.0,2863.0,21.7,0.558,29.4,6.8,1.0,1.7,10.1,31.5,5.5,1.9,7.4,0.123,5.2,-1.0,4.2,4.4,2019
Tobias Harris,PF,26.0,82.0,2847.0,17.2,0.592,12.5,12.0,1.0,0.8,9.8,22.8,4.5,2.6,7.1,0.12,2.1,-0.5,1.6,2.6,2019
Tobias Harris,PF,26.0,55.0,1903.0,18.2,0.605,12.5,12.0,1.0,1.0,10.3,23.5,3.2,1.8,5.0,0.127,2.7,-0.2,2.4,2.1,2019
Tobias Harris,PF,26.0,27.0,944.0,15.3,0.562,12.6,11.9,1.1,0.6,8.8,21.3,1.2,0.9,2.1,0.105,0.9,-1.0,-0.1,0.5,2019
Paul George,SF,28.0,77.0,2841.0,23.3,0.583,17.7,11.4,1.0,2.8,10.0,29.5,7.0,4.9,11.9,0.201,5.6,1.6,7.2,6.6,2019
Damian Lillard,PG,28.0,80.0,2838.0,23.7,0.588,30.6,7.0,1.0,1.5,10.8,29.3,9.7,2.4,12.1,0.205,6.6,-0.3,6.4,6.0,2019
P.J. Tucker,PF,33.0,82.0,2802.0,9.2,0.547,4.6,9.5,1.2,2.3,10.3,9.5,2.0,3.0,5.0,0.086,-1.6,1.0,-0.6,1.0,2019
Kevin Durant,SF,30.0,78.0,2702.0,24.2,0.631,26.2,9.8,2.6,1.0,12.3,29.0,8.6,2.9,11.5,0.204,5.4,0.1,5.5,5.1,2019
Ben Simmons,PG,22.0,79.0,2700.0,20.0,0.582,34.2,13.7,1.8,2.0,19.3,22.1,4.6,3.6,8.2,0.146,2.2,1.3,3.6,3.8,2019
DeMar DeRozan,SG,29.0,77.0,2688.0,19.6,0.542,27.6,9.4,1.1,1.6,11.7,27.9,3.6,2.6,6.3,0.112,1.0,0.1,1.1,2.2,2019
LaMarcus Aldridge,C,33.0,81.0,2687.0,22.9,0.576,11.6,15.1,3.4,0.8,8.8,26.9,6.4,2.9,9.3,0.167,2.4,-0.6,1.8,2.6,2019
Steven Adams,C,25.0,80.0,2669.0,18.5,0.591,6.6,14.7,2.4,2.0,12.6,16.4,5.1,4.0,9.1,0.163,0.7,0.4,1.1,2.1,2019
Klay Thompson,SG,28.0,78.0,2652.0,16.6,0.571,10.5,6.0,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.1,-1.4,-0.3,1.2,2019
Andre Drummond,C,25.0,79.0,2647.0,23.4,0.555,7.2,25.4,4.4,2.5,12.4,22.9,4.1,5.9,10.0,0.181,1.3,0.8,2.1,2.7,2019
Aaron Gordon,PF,23.0,78.0,2633.0,15.1,0.538,16.6,11.7,1.8,1.1,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,2019
Russell Westbrook,PG,30.0,73.0,2630.0,21.1,0.501,46.5,15.8,1.1,2.5,16.3,30.9,1.8,5.0,6.8,0.124,2.8,2.4,5.2,4.7,2019
Blake Griffin,PF,29.0,75.0,2622.0,21.0,0.581,27.1,11.8,0.9,1.0,13.8,30.2,5.1,2.9,8.0,0.147,4.9,0.2,5.1,4.7,2019
Buddy Hield,SG,26.0,82.0,2615.0,17.5,0.587,11.9,8.1,1.1,1.0,9.2,25.1,4.3,1.6,5.9,0.108,3.5,-1.4,2.1,2.7,2019
Jerami Grant,PF,24.0,80.0,2612.0,13.8,0.592,4.2,8.2,3.2,1.1,6.8,15.4,4.0,3.3,7.3,0.134,-0.4,0.6,0.2,1.5,2019
Justin Holiday,SG,29.0,82.0,2607.0,10.0,0.52,8.1,6.8,1.2,2.3,11.2,15.7,-0.4,2.5,2.1,0.038,-2.3,0.5,-1.8,0.1,2019
Justin Holiday,SG,29.0,38.0,1325.0,11.0,0.531,9.1,6.9,1.4,2.5,10.2,15.2,0.2,1.1,1.3,0.047,-1.3,1.1,-0.3,0.6,2019
Justin Holiday,SG,29.0,44.0,1282.0,8.9,0.509,7.1,6.7,1.1,2.1,12.2,16.3,-0.6,1.4,0.8,0.029,-3.3,-0.1,-3.4,-0.5,2019
Collin Sexton,PG,20.0,82.0,2605.0,12.0,0.52,15.3,5.0,0.2,0.8,12.3,25.2,-0.1,-0.5,-0.6,-0.011,-1.4,-3.3,-4.7,-1.8,2019
Donovan Mitchell,SG,22.0,77.0,2598.0,17.2,0.537,21.2,6.6,0.9,2.0,11.3,31.6,1.3,3.7,5.0,0.092,1.2,0.1,1.3,2.2,2019
Rudy Gobert,C,26.0,81.0,2577.0,24.6,0.682,9.6,21.9,5.8,1.2,12.1,17.8,8.7,5.7,14.4,0.268,3.0,2.5,5.4,4.8,2019
Bojan Bogdanović,SF,29.0,81.0,2573.0,16.1,0.613,9.5,7.2,0.0,1.3,10.2,22.4,3.9,2.8,6.8,0.126,1.3,-0.6,0.7,1.7,2019
Joe Ingles,PF,31.0,82.0,2568.0,13.4,0.581,26.1,7.0,0.6,1.8,18.4,17.5,2.5,3.6,6.0,0.113,0.3,1.1,1.4,2.2,2019
Evan Fournier,SG,26.0,81.0,2553.0,12.3,0.536,17.6,5.4,0.4,1.4,11.9,22.1,0.8,2.5,3.2,0.061,-1.8,-0.6,-2.4,-0.3,2019
Pascal Siakam,PF,24.0,80.0,2548.0,18.7,0.628,14.6,11.6,1.7,1.4,12.5,20.8,5.7,3.6,9.3,0.175,1.6,0.8,2.4,2.8,2019
De'Aaron Fox,PG,21.0,81.0,2546.0,18.1,0.544,33.2,6.2,1.5,2.4,15.0,24.5,3.2,2.5,5.6,0.106,1.3,0.2,1.5,2.3,2019
Karl-Anthony Towns,C,23.0,77.0,2545.0,26.3,0.622,17.2,20.0,4.2,1.3,13.7,28.9,7.2,3.2,10.4,0.197,5.4,0.6,6.0,5.1,2019
Andrew Wiggins,SF,23.0,73.0,2543.0,12.4,0.493,10.9,7.4,1.6,1.3,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3.0,-0.6,2019
Josh Richardson,SG,25.0,73.0,2539.0,14.0,0.536,17.9,5.5,1.2,1.5,9.1,20.9,3.0,2.6,5.6,0.106,0.1,0.2,0.3,1.5,2019
Harrison Barnes,PF,26.0,77.0,2533.0,12.8,0.55,6.7,7.5,0.4,0.9,7.9,20.9,2.0,1.6,3.6,0.068,-0.2,-1.2,-1.4,0.4,2019
Harrison Barnes,PF,26.0,49.0,1584.0,13.1,0.538,6.3,7.0,0.6,1.0,7.8,23.7,0.8,1.1,1.9,0.059,0.0,-1.2,-1.2,0.3,2019
Harrison Barnes,SF,26.0,28.0,949.0,12.3,0.578,7.5,8.4,0.2,0.8,8.0,16.3,1.1,0.5,1.7,0.084,-0.5,-1.2,-1.7,0.1,2019
Nikola Vučević,C,28.0,80.0,2510.0,25.5,0.573,21.9,20.5,3.0,1.6,9.9,28.0,5.4,4.7,10.1,0.193,5.0,1.7,6.6,5.5,2019
Nikola Jokić,C,23.0,80.0,2504.0,26.3,0.589,37.0,18.7,1.9,2.1,15.4,27.4,7.5,4.3,11.8,0.226,6.2,2.9,9.1,7.0,2019
Trae Young,PG,20.0,81.0,2503.0,17.0,0.539,40.5,6.3,0.5,1.3,17.6,28.4,2.5,0.7,3.3,0.062,2.3,-2.8,-0.6,0.9,2019
Thaddeus Young,PF,30.0,81.0,2489.0,16.2,0.569,12.0,11.7,1.3,2.4,12.0,18.0,3.0,3.9,6.9,0.133,0.4,1.1,1.5,2.2,2019
Jayson Tatum,SF,20.0,79.0,2455.0,15.1,0.547,10.0,10.4,2.1,1.6,9.7,22.1,1.6,3.4,5.0,0.097,-0.4,0.2,-0.2,1.1,2019
D'Angelo Russell,PG,22.0,81.0,2448.0,19.4,0.533,41.3,6.8,0.6,1.9,13.6,31.9,2.4,2.6,5.0,0.097,4.0,-0.6,3.4,3.4,2019
Jamal Murray,PG,21.0,75.0,2447.0,16.0,0.538,22.4,7.0,1.0,1.3,11.1,24.9,2.8,2.3,5.1,0.1,1.4,-0.8,0.6,1.6,2019
Cedi Osman,SF,23.0,76.0,2444.0,11.5,0.536,12.1,8.1,0.4,1.2,11.0,18.6,1.2,0.2,1.5,0.029,-1.4,-1.8,-3.2,-0.8,2019
Marc Gasol,C,34.0,79.0,2436.0,16.7,0.546,22.2,14.3,3.2,1.7,13.6,20.7,2.0,4.0,6.0,0.118,0.8,2.3,3.1,3.1,2019
Marc Gasol,C,34.0,53.0,1788.0,16.9,0.541,22.6,14.3,3.3,1.7,13.4,22.3,1.0,2.8,3.9,0.104,1.1,2.1,3.2,2.3,2019
Marc Gasol,C,34.0,26.0,648.0,16.0,0.565,21.2,14.3,2.9,1.8,14.6,16.3,0.9,1.2,2.1,0.157,0.1,2.8,2.9,0.8,2019
Mikal Bridges,SF,22.0,82.0,2417.0,10.8,0.556,9.8,6.0,1.3,2.5,10.2,12.2,1.7,1.2,2.9,0.058,-2.0,0.4,-1.6,0.3,2019
Jrue Holiday,SG,28.0,67.0,2402.0,19.4,0.555,31.8,7.2,1.8,2.1,14.1,25.4,3.5,1.9,5.4,0.108,3.1,-0.1,3.0,3.1,2019
Khris Middleton,SF,27.0,77.0,2393.0,16.5,0.558,20.1,9.8,0.2,1.6,12.1,25.1,2.5,3.6,6.1,0.123,0.7,0.1,0.8,1.7,2019
JJ Redick,SG,34.0,76.0,2379.0,15.1,0.602,12.9,4.1,0.6,0.6,8.1,21.9,4.6,1.2,5.9,0.118,2.2,-2.0,0.2,1.3,2019
