Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Jordan Clarkson,SG,30.0,61.0,61.0,32.6,20.8,4.0,4.4,0.5,0.2,3.0,0.444,0.338,0.816,2023
Karl-Anthony Towns,PF,27.0,29.0,29.0,33.0,20.8,8.1,4.8,0.7,0.6,3.0,0.495,0.366,0.874,2023
Tyrese Haliburton,PG,22.0,56.0,56.0,33.6,20.7,3.7,10.4,1.6,0.4,2.5,0.49,0.4,0.871,2023
Jerami Grant,PF,28.0,63.0,63.0,35.7,20.5,4.5,2.4,0.8,0.8,1.8,0.475,0.401,0.813,2023
Dejounte Murray,SG,26.0,74.0,74.0,36.4,20.5,5.3,6.1,1.5,0.3,2.2,0.464,0.344,0.832,2023
Bam Adebayo,C,25.0,75.0,75.0,34.6,20.4,9.2,3.2,1.2,0.8,2.5,0.54,0.083,0.806,2023
Jordan Poole,PG,23.0,82.0,43.0,30.0,20.4,2.7,4.5,0.8,0.3,3.1,0.43,0.336,0.87,2023
Tyrese Maxey,SG,22.0,60.0,41.0,33.6,20.3,2.9,3.5,0.8,0.1,1.3,0.481,0.434,0.845,2023
Kelly Oubre Jr.,SF,27.0,48.0,40.0,32.3,20.3,5.2,1.1,1.4,0.4,1.3,0.431,0.319,0.76,2023
Mikal Bridges,SG,26.0,83.0,83.0,35.7,20.1,4.4,3.3,1.1,0.7,1.5,0.468,0.382,0.895,2023
Mikal Bridges,SF,26.0,56.0,56.0,36.4,17.2,4.3,3.6,1.2,0.8,1.4,0.463,0.387,0.897,2023
Mikal Bridges,SG,26.0,27.0,27.0,34.2,26.1,4.5,2.7,1.0,0.6,1.8,0.475,0.376,0.894,2023
Tyler Herro,SG,23.0,67.0,67.0,34.9,20.1,5.4,4.2,0.8,0.2,2.4,0.439,0.378,0.934,2023
Paolo Banchero,PF,20.0,72.0,72.0,33.8,20.0,6.9,3.7,0.8,0.5,2.8,0.427,0.298,0.738,2023
Jamal Murray,PG,25.0,65.0,65.0,32.8,20.0,4.0,6.2,1.0,0.2,2.2,0.454,0.398,0.833,2023
RJ Barrett,SG,22.0,73.0,73.0,33.9,19.6,5.0,2.8,0.4,0.2,2.2,0.434,0.31,0.74,2023
Jrue Holiday,PG,32.0,67.0,65.0,32.6,19.3,5.1,7.4,1.2,0.4,2.9,0.479,0.384,0.859,2023
Fred VanVleet,PG,28.0,69.0,69.0,36.7,19.3,4.1,7.2,1.8,0.6,2.0,0.393,0.342,0.898,2023
Kevin Porter Jr.,PG,22.0,59.0,59.0,34.3,19.2,5.3,5.7,1.4,0.3,3.2,0.442,0.366,0.784,2023
Domantas Sabonis,C,26.0,79.0,79.0,34.6,19.1,12.3,7.3,0.8,0.5,2.9,0.615,0.373,0.742,2023
Jaren Jackson Jr.,C,23.0,63.0,63.0,28.4,18.6,6.8,1.0,1.0,3.0,1.7,0.506,0.355,0.788,2023
Franz Wagner,SF,21.0,80.0,80.0,32.6,18.6,4.1,3.5,1.0,0.2,2.1,0.485,0.361,0.842,2023
Devin Vassell,SG,22.0,38.0,32.0,31.0,18.5,3.9,3.6,1.1,0.4,1.5,0.439,0.387,0.78,2023
Deandre Ayton,C,24.0,67.0,67.0,30.4,18.0,10.0,1.7,0.6,0.8,1.8,0.589,0.292,0.76,2023
Myles Turner,C,26.0,62.0,62.0,29.4,18.0,7.5,1.4,0.6,2.3,1.7,0.548,0.373,0.783,2023
D'Angelo Russell,PG,26.0,71.0,71.0,32.5,17.8,3.0,6.2,1.0,0.4,2.6,0.469,0.396,0.829,2023
D'Angelo Russell,PG,26.0,54.0,54.0,32.9,17.9,3.1,6.2,1.1,0.4,2.7,0.465,0.391,0.856,2023
Nikola Vučević,C,32.0,82.0,82.0,33.5,17.6,11.0,3.2,0.7,0.7,1.7,0.52,0.349,0.835,2023
Michael Porter Jr.,SF,24.0,62.0,62.0,29.0,17.4,5.5,1.0,0.6,0.5,1.1,0.487,0.414,0.8,2023
Gary Trent Jr.,SG,24.0,66.0,44.0,32.1,17.4,2.6,1.6,1.6,0.2,0.8,0.433,0.369,0.839,2023
Spencer Dinwiddie,SG,29.0,79.0,79.0,34.5,17.3,3.4,6.5,0.8,0.3,1.8,0.438,0.369,0.812,2023
Spencer Dinwiddie,SG,29.0,53.0,53.0,34.1,17.7,3.1,5.3,0.7,0.3,1.7,0.455,0.405,0.821,2023
Spencer Dinwiddie,PG,29.0,26.0,26.0,35.3,16.5,4.1,9.1,1.1,0.3,2.1,0.404,0.289,0.797,2023
Andrew Wiggins,SF,27.0,37.0,37.0,32.2,17.1,5.0,2.3,1.2,0.8,1.3,0.473,0.396,0.611,2023
Norman Powell,SG,29.0,60.0,8.0,26.1,17.0,2.9,1.8,0.8,0.3,1.7,0.479,0.397,0.812,2023
OG Anunoby,SF,25.0,67.0,67.0,35.6,16.8,5.0,2.0,1.9,0.7,2.0,0.476,0.387,0.838,2023
Buddy Hield,SF,30.0,80.0,73.0,31.0,16.8,5.0,2.8,1.2,0.3,1.7,0.458,0.425,0.822,2023
Bennedict Mathurin,SG,20.0,78.0,17.0,28.5,16.7,4.1,1.5,0.6,0.2,1.9,0.434,0.323,0.828,2023
Josh Giddey,PF,20.0,76.0,76.0,31.1,16.6,7.9,6.2,0.8,0.4,2.8,0.482,0.325,0.731,2023
Christian Wood,C,27.0,67.0,17.0,25.9,16.6,7.3,1.8,0.4,1.1,1.8,0.515,0.376,0.772,2023
Aaron Gordon,PF,27.0,68.0,68.0,30.2,16.3,6.6,3.0,0.8,0.8,1.4,0.564,0.347,0.608,2023
Jaden Ivey,SG,20.0,74.0,73.0,31.1,16.3,3.9,5.2,0.8,0.2,3.2,0.416,0.343,0.747,2023
Evan Mobley,PF,21.0,79.0,79.0,34.4,16.2,9.0,2.8,0.8,1.5,1.8,0.554,0.216,0.674,2023
Brook Lopez,C,34.0,78.0,78.0,30.4,15.9,6.7,1.3,0.5,2.5,1.4,0.531,0.374,0.784,2023
Russell Westbrook,PG,34.0,73.0,24.0,29.1,15.9,5.8,7.5,1.0,0.5,3.5,0.436,0.311,0.656,2023
Russell Westbrook,PG,34.0,52.0,3.0,28.7,15.9,6.2,7.5,1.0,0.4,3.5,0.417,0.296,0.655,2023
Russell Westbrook,PG,34.0,21.0,21.0,30.2,15.8,4.9,7.6,1.1,0.5,3.4,0.489,0.356,0.658,2023
P.J. Washington,PF,24.0,73.0,73.0,32.6,15.7,4.9,2.4,0.9,1.1,1.5,0.444,0.348,0.73,2023
Cameron Johnson,PF,26.0,42.0,41.0,28.5,15.5,4.4,1.9,1.2,0.3,0.9,0.47,0.404,0.842,2023
Cameron Johnson,PF,26.0,25.0,25.0,30.8,16.6,4.8,2.1,1.4,0.3,1.1,0.468,0.372,0.851,2023
De'Andre Hunter,SF,25.0,67.0,67.0,31.7,15.4,4.2,1.4,0.5,0.3,1.2,0.461,0.35,0.826,2023
