Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
James Harden,SG,30.0,68.0,68.0,36.5,34.3,6.6,7.5,1.8,0.9,4.5,0.444,0.355,0.865,2020
Bradley Beal,SG,26.0,57.0,57.0,36.0,30.5,4.2,6.1,1.2,0.4,3.4,0.455,0.353,0.842,2020
Damian Lillard,PG,29.0,66.0,66.0,37.5,30.0,4.3,8.0,1.1,0.3,2.9,0.463,0.401,0.888,2020
Trae Young,PG,21.0,60.0,60.0,35.3,29.6,4.3,9.3,1.1,0.1,4.8,0.437,0.361,0.86,2020
Giannis Antetokounmpo,PF,25.0,63.0,63.0,30.4,29.5,13.6,5.6,1.0,1.0,3.7,0.553,0.304,0.633,2020
Luka Dončić,PG,20.0,61.0,61.0,33.6,28.8,9.4,8.8,1.0,0.2,4.3,0.463,0.316,0.758,2020
Kyrie Irving,PG,27.0,20.0,20.0,32.9,27.4,5.2,6.4,1.4,0.5,2.6,0.478,0.394,0.922,2020
Russell Westbrook,PG,31.0,57.0,57.0,35.9,27.2,7.9,7.0,1.6,0.4,4.5,0.472,0.258,0.763,2020
Kawhi Leonard,SF,28.0,57.0,57.0,32.4,27.1,7.1,4.9,1.8,0.6,2.6,0.47,0.378,0.886,2020
Devin Booker,SG,23.0,70.0,70.0,35.9,26.6,4.2,6.5,0.7,0.3,3.8,0.489,0.354,0.919,2020
Karl-Anthony Towns,C,24.0,35.0,35.0,33.9,26.5,10.8,4.4,0.9,1.2,3.1,0.508,0.412,0.796,2020
Anthony Davis,PF,26.0,62.0,62.0,34.4,26.1,9.3,3.2,1.5,2.3,2.5,0.503,0.33,0.846,2020
Zach LaVine,SF,24.0,60.0,60.0,34.8,25.5,4.8,4.2,1.5,0.5,3.4,0.45,0.38,0.802,2020
LeBron James,PG,35.0,67.0,67.0,34.6,25.3,7.8,10.2,1.2,0.5,3.9,0.493,0.348,0.693,2020
Donovan Mitchell,SG,23.0,69.0,69.0,34.3,24.0,4.4,4.3,1.0,0.2,2.7,0.449,0.366,0.863,2020
Brandon Ingram,PF,22.0,62.0,62.0,33.9,23.8,6.1,4.2,1.0,0.6,3.0,0.463,0.391,0.851,2020
Jayson Tatum,PF,21.0,66.0,66.0,34.3,23.4,7.0,3.0,1.4,0.9,2.3,0.45,0.403,0.812,2020
D'Angelo Russell,PG,23.0,45.0,45.0,32.3,23.1,3.9,6.3,1.1,0.3,3.3,0.426,0.367,0.809,2020
D'Angelo Russell,PG,23.0,33.0,33.0,32.1,23.6,3.7,6.2,0.9,0.3,3.1,0.43,0.374,0.785,2020
