Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Stephen Curry,PG,27.0,79.0,79.0,34.2,30.1,5.4,6.7,2.1,0.2,3.3,0.504,0.454,0.908,2016
James Harden,SG,26.0,82.0,82.0,38.1,29.0,6.1,7.5,1.7,0.6,4.6,0.439,0.359,0.86,2016
Kevin Durant,SF,27.0,72.0,72.0,35.8,28.2,8.2,5.0,1.0,1.2,3.5,0.505,0.387,0.898,2016
DeMarcus Cousins,C,25.0,65.0,65.0,34.6,26.9,11.5,3.3,1.6,1.4,3.8,0.451,0.333,0.718,2016
LeBron James,SF,31.0,76.0,76.0,35.6,25.3,7.4,6.8,1.4,0.6,3.3,0.52,0.309,0.731,2016
Damian Lillard,PG,25.0,75.0,75.0,35.7,25.1,4.0,6.8,0.9,0.4,3.2,0.419,0.375,0.892,2016
Anthony Davis,C,22.0,61.0,61.0,35.5,24.3,10.3,1.9,1.3,2.0,2.0,0.493,0.324,0.758,2016
DeMar DeRozan,SG,26.0,78.0,78.0,35.9,23.5,4.5,4.0,1.0,0.3,2.2,0.446,0.338,0.85,2016
Russell Westbrook,PG,27.0,80.0,80.0,34.4,23.5,7.8,10.4,2.0,0.3,4.3,0.454,0.296,0.812,2016
Paul George,SF,25.0,81.0,81.0,34.8,23.1,7.0,4.1,1.9,0.4,3.3,0.418,0.371,0.86,2016
Isaiah Thomas,PG,26.0,82.0,79.0,32.2,22.2,3.0,6.2,1.1,0.1,2.7,0.428,0.359,0.871,2016
Klay Thompson,SG,25.0,80.0,80.0,33.3,22.1,3.8,2.1,0.8,0.6,1.7,0.47,0.425,0.873,2016
Carmelo Anthony,SF,31.0,72.0,72.0,35.1,21.8,7.7,4.2,0.9,0.5,2.4,0.434,0.339,0.829,2016
Blake Griffin,PF,26.0,35.0,35.0,33.4,21.4,8.4,4.9,0.8,0.5,2.4,0.499,0.333,0.727,2016
Kawhi Leonard,SF,24.0,72.0,72.0,33.1,21.2,6.8,2.6,1.8,1.0,1.5,0.506,0.443,0.874,2016
Kyle Lowry,PG,29.0,77.0,77.0,37.0,21.2,4.7,6.4,2.1,0.4,2.9,0.427,0.388,0.811,2016
Jimmy Butler,SG,26.0,67.0,67.0,36.9,20.9,5.3,4.8,1.6,0.6,2.0,0.454,0.312,0.832,2016
Kemba Walker,PG,25.0,81.0,81.0,35.6,20.9,4.4,5.2,1.6,0.5,2.1,0.427,0.371,0.847,2016
CJ McCollum,SG,24.0,80.0,80.0,34.8,20.8,3.2,4.3,1.2,0.3,2.5,0.448,0.417,0.827,2016
Andrew Wiggins,SF,20.0,81.0,81.0,35.1,20.7,3.6,2.0,1.0,0.6,2.2,0.459,0.3,0.761,2016
Brook Lopez,C,27.0,73.0,73.0,33.7,20.6,7.8,2.0,0.8,1.7,2.4,0.511,0.143,0.787,2016
Eric Bledsoe,PG,26.0,31.0,31.0,34.2,20.4,4.0,6.1,2.0,0.6,3.5,0.453,0.372,0.802,2016
John Wall,PG,25.0,77.0,77.0,36.2,19.9,4.9,10.2,1.9,0.8,4.1,0.424,0.351,0.791,2016
Gordon Hayward,SF,25.0,80.0,80.0,36.2,19.7,5.0,3.7,1.2,0.3,2.5,0.433,0.349,0.824,2016
Kyrie Irving,PG,23.0,53.0,53.0,31.5,19.6,3.0,4.7,1.1,0.3,2.3,0.448,0.321,0.885,2016
Brandon Knight,SG,24.0,52.0,50.0,36.0,19.6,3.9,5.1,1.2,0.4,3.4,0.415,0.342,0.852,2016
Danilo Gallinari,SF,27.0,53.0,53.0,34.7,19.5,5.3,2.5,0.8,0.4,1.5,0.41,0.364,0.868,2016
Chris Paul,PG,30.0,74.0,74.0,32.7,19.5,4.2,10.0,2.1,0.2,2.6,0.462,0.371,0.896,2016
Chris Bosh,PF,31.0,53.0,53.0,33.5,19.1,7.4,2.4,0.7,0.6,1.5,0.467,0.365,0.795,2016
Dwyane Wade,SG,34.0,74.0,73.0,30.5,19.0,4.1,4.6,1.1,0.6,2.7,0.456,0.159,0.793,2016
Reggie Jackson,PG,25.0,79.0,79.0,30.7,18.8,3.2,6.2,0.7,0.1,2.8,0.434,0.353,0.864,2016
Dirk Nowitzki,PF,37.0,75.0,75.0,31.5,18.3,6.5,1.8,0.7,0.7,1.1,0.448,0.368,0.893,2016
