Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
James Harden,SG,28.0,72.0,72.0,35.4,30.4,5.4,8.8,1.8,0.7,4.4,0.449,0.367,0.858,2018
Anthony Davis,PF,24.0,75.0,75.0,36.4,28.1,11.1,2.3,1.5,2.6,2.2,0.534,0.34,0.828,2018
LeBron James,PF,33.0,82.0,82.0,36.9,27.5,8.6,9.1,1.4,0.9,4.2,0.542,0.367,0.731,2018
Giannis Antetokounmpo,PF,23.0,75.0,75.0,36.7,26.9,10.0,4.8,1.5,1.4,3.0,0.529,0.307,0.76,2018
Damian Lillard,PG,27.0,73.0,73.0,36.6,26.9,4.5,6.6,1.1,0.4,2.8,0.439,0.361,0.916,2018
Stephen Curry,PG,29.0,51.0,51.0,32.0,26.4,5.1,6.1,1.6,0.2,3.0,0.495,0.423,0.921,2018
Kevin Durant,SF,29.0,68.0,68.0,34.2,26.4,6.8,5.4,0.7,1.8,3.0,0.516,0.419,0.889,2018
Russell Westbrook,PG,29.0,80.0,80.0,36.4,25.4,10.1,10.3,1.8,0.3,4.8,0.449,0.298,0.737,2018
DeMarcus Cousins,C,27.0,48.0,48.0,36.2,25.2,12.9,5.4,1.6,1.6,5.0,0.47,0.354,0.746,2018
Devin Booker,SG,21.0,54.0,54.0,34.5,24.9,4.5,4.7,0.9,0.3,3.6,0.432,0.383,0.878,2018
Kyrie Irving,PG,25.0,60.0,60.0,32.2,24.4,3.8,5.1,1.1,0.3,2.3,0.491,0.408,0.889,2018
LaMarcus Aldridge,C,32.0,75.0,75.0,33.5,23.1,8.5,2.0,0.6,1.2,1.5,0.51,0.293,0.837,2018
Victor Oladipo,SG,25.0,75.0,75.0,34.0,23.1,5.2,4.3,2.4,0.8,2.9,0.477,0.371,0.799,2018
DeMar DeRozan,SG,28.0,80.0,80.0,33.9,23.0,3.9,5.2,1.1,0.3,2.2,0.456,0.31,0.825,2018
Joel Embiid,C,23.0,63.0,63.0,30.3,22.9,11.0,3.2,0.6,1.8,3.7,0.483,0.308,0.769,2018
Kristaps Porziņģis,PF,22.0,48.0,48.0,32.4,22.7,6.6,1.2,0.8,2.4,1.9,0.439,0.395,0.793,2018
Bradley Beal,SG,24.0,82.0,82.0,36.3,22.6,4.4,4.5,1.2,0.4,2.6,0.46,0.375,0.791,2018
Lou Williams,SG,31.0,79.0,19.0,32.8,22.6,2.5,5.3,1.1,0.2,3.0,0.435,0.359,0.88,2018
Jimmy Butler,SG,28.0,59.0,59.0,36.7,22.2,5.3,4.9,2.0,0.4,1.8,0.474,0.35,0.854,2018
Kemba Walker,PG,27.0,80.0,80.0,34.2,22.1,3.1,5.6,1.1,0.3,2.2,0.431,0.384,0.864,2018
Paul George,SF,27.0,79.0,79.0,36.6,21.9,5.7,3.3,2.0,0.5,2.7,0.43,0.401,0.822,2018
Blake Griffin,PF,28.0,58.0,58.0,34.0,21.4,7.4,5.8,0.7,0.3,2.8,0.438,0.345,0.785,2018
Blake Griffin,PF,28.0,33.0,33.0,34.5,22.6,7.9,5.4,0.9,0.3,3.0,0.441,0.342,0.785,2018
