Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Joel Embiid,C,27.0,68.0,68.0,33.8,30.6,11.7,4.2,1.1,1.5,3.1,0.499,0.371,0.814,2022
LeBron James,C,37.0,56.0,56.0,37.2,30.3,8.2,6.2,1.3,1.1,3.5,0.524,0.359,0.756,2022
Giannis Antetokounmpo,PF,27.0,67.0,67.0,32.9,29.9,11.6,5.8,1.1,1.4,3.3,0.553,0.293,0.722,2022
Kevin Durant,PF,33.0,55.0,55.0,37.2,29.9,7.4,6.4,0.9,0.9,3.5,0.518,0.383,0.91,2022
Luka Dončić,PG,22.0,65.0,65.0,35.4,28.4,9.1,8.7,1.2,0.6,4.5,0.457,0.353,0.744,2022
Trae Young,PG,23.0,76.0,76.0,34.9,28.4,3.7,9.7,0.9,0.1,4.0,0.46,0.382,0.904,2022
DeMar DeRozan,PF,32.0,76.0,76.0,36.1,27.9,5.2,4.9,0.9,0.3,2.4,0.504,0.352,0.877,2022
Kyrie Irving,PG,29.0,29.0,29.0,37.6,27.4,4.4,5.8,1.4,0.6,2.5,0.469,0.418,0.915,2022
Ja Morant,PG,22.0,57.0,57.0,33.1,27.4,5.7,6.7,1.2,0.4,3.4,0.493,0.344,0.761,2022
Nikola Jokić,C,26.0,74.0,74.0,33.5,27.1,13.8,7.9,1.5,0.9,3.8,0.583,0.337,0.81,2022
Jayson Tatum,SF,23.0,76.0,76.0,35.9,26.9,8.0,4.4,1.0,0.6,2.9,0.453,0.353,0.853,2022
Devin Booker,SG,25.0,68.0,68.0,34.5,26.8,5.0,4.8,1.1,0.4,2.4,0.466,0.383,0.868,2022
Donovan Mitchell,SG,25.0,67.0,67.0,33.8,25.9,4.2,5.3,1.5,0.2,3.0,0.448,0.355,0.853,2022
Stephen Curry,PG,33.0,64.0,64.0,34.5,25.5,5.2,6.3,1.3,0.4,3.2,0.437,0.38,0.923,2022
Karl-Anthony Towns,C,26.0,74.0,74.0,33.5,24.6,9.8,3.6,1.0,1.1,3.1,0.529,0.41,0.822,2022
Shai Gilgeous-Alexander,PG,23.0,56.0,56.0,34.7,24.5,5.0,5.9,1.3,0.8,2.8,0.453,0.3,0.81,2022
Zach LaVine,SG,26.0,67.0,67.0,34.7,24.4,4.6,4.5,0.6,0.3,2.6,0.476,0.389,0.853,2022
Paul George,PF,31.0,31.0,31.0,34.7,24.3,6.9,5.7,2.2,0.4,4.1,0.421,0.354,0.858,2022
Damian Lillard,PG,31.0,29.0,29.0,36.4,24.0,4.1,7.3,0.6,0.4,2.9,0.402,0.324,0.878,2022
Jaylen Brown,SF,25.0,66.0,66.0,33.6,23.6,6.1,3.5,1.1,0.3,2.7,0.473,0.358,0.758,2022
Bradley Beal,SG,28.0,40.0,40.0,36.0,23.2,4.7,6.6,0.9,0.4,3.4,0.451,0.3,0.833,2022
Anthony Davis,C,28.0,40.0,40.0,35.1,23.2,9.9,3.1,1.2,2.3,2.1,0.532,0.186,0.713,2022
De'Aaron Fox,PG,24.0,59.0,59.0,35.3,23.2,3.9,5.6,1.2,0.4,2.8,0.473,0.297,0.75,2022
Pascal Siakam,PF,27.0,68.0,68.0,37.9,22.8,8.5,5.3,1.3,0.6,2.7,0.494,0.344,0.749,2022
Brandon Ingram,SF,24.0,55.0,55.0,34.0,22.7,5.8,5.6,0.6,0.5,2.7,0.461,0.327,0.826,2022
CJ McCollum,PG,30.0,62.0,62.0,34.6,22.1,4.3,5.1,1.1,0.4,2.0,0.46,0.388,0.682,2022
CJ McCollum,SG,30.0,36.0,36.0,35.2,20.5,4.3,4.5,1.0,0.6,1.9,0.436,0.384,0.706,2022
CJ McCollum,PG,30.0,26.0,26.0,33.8,24.3,4.5,5.8,1.3,0.0,2.2,0.493,0.394,0.667,2022
James Harden,PG,32.0,65.0,65.0,37.2,22.0,7.7,10.3,1.3,0.6,4.4,0.41,0.33,0.877,2022
James Harden,PG,32.0,44.0,44.0,37.0,22.5,8.0,10.2,1.3,0.7,4.8,0.414,0.332,0.869,2022
James Harden,PG,32.0,21.0,21.0,37.7,21.0,7.1,10.5,1.2,0.2,3.4,0.402,0.326,0.892,2022
Darius Garland,PG,22.0,68.0,68.0,35.7,21.7,3.3,8.6,1.3,0.1,3.6,0.462,0.383,0.892,2022
Jimmy Butler,SF,32.0,57.0,57.0,33.9,21.4,5.9,5.5,1.6,0.5,2.1,0.48,0.233,0.87,2022
Anthony Edwards,SG,20.0,72.0,72.0,34.3,21.3,4.8,3.8,1.5,0.6,2.6,0.441,0.357,0.786,2022
Dejounte Murray,PG,25.0,68.0,68.0,34.8,21.1,8.3,9.2,2.0,0.3,2.6,0.462,0.327,0.794,2022
Tyler Herro,SG,22.0,66.0,10.0,32.6,20.7,5.0,4.0,0.7,0.1,2.6,0.447,0.399,0.868,2022
Klay Thompson,SG,31.0,32.0,32.0,29.4,20.4,3.9,2.8,0.5,0.5,1.3,0.429,0.385,0.902,2022
Fred VanVleet,PG,27.0,65.0,65.0,37.9,20.3,4.4,6.7,1.7,0.5,2.6,0.403,0.377,0.874,2022
Kristaps Porziņģis,PF,26.0,51.0,51.0,29.0,20.2,8.1,2.3,0.7,1.6,1.6,0.459,0.31,0.867,2022
Kristaps Porziņģis,PF,26.0,34.0,34.0,29.5,19.2,7.7,2.0,0.7,1.7,1.6,0.451,0.283,0.865,2022
Miles Bridges,PF,23.0,80.0,80.0,35.5,20.2,7.0,3.8,0.9,0.8,1.9,0.491,0.331,0.802,2022
LaMelo Ball,PG,20.0,75.0,75.0,32.3,20.1,6.7,7.6,1.6,0.4,3.3,0.429,0.389,0.872,2022
Khris Middleton,SF,30.0,66.0,66.0,32.4,20.1,5.4,5.4,1.2,0.3,2.9,0.443,0.373,0.89,2022
Julius Randle,PF,27.0,72.0,72.0,35.3,20.1,9.9,5.1,0.7,0.5,3.4,0.411,0.308,0.756,2022
RJ Barrett,SF,21.0,70.0,70.0,34.5,20.0,5.8,3.0,0.6,0.2,2.2,0.408,0.342,0.714,2022
Terry Rozier,SG,27.0,73.0,73.0,33.7,19.3,4.3,4.5,1.3,0.3,1.3,0.444,0.374,0.852,2022
Jerami Grant,PF,27.0,47.0,47.0,31.9,19.2,4.1,2.4,0.9,1.0,1.8,0.426,0.358,0.838,2022
Bam Adebayo,C,24.0,56.0,56.0,32.6,19.1,10.1,3.4,1.4,0.8,2.6,0.557,0.0,0.753,2022
Malcolm Brogdon,PG,29.0,36.0,36.0,33.5,19.1,5.1,5.9,0.8,0.4,2.1,0.448,0.312,0.856,2022
Norman Powell,SF,28.0,45.0,41.0,32.4,19.0,3.2,2.1,0.9,0.5,1.5,0.461,0.419,0.811,2022
Norman Powell,SF,28.0,40.0,39.0,33.3,18.7,3.3,2.1,1.0,0.4,1.6,0.456,0.406,0.803,2022
Domantas Sabonis,PF,25.0,62.0,61.0,34.5,18.9,12.1,5.2,1.0,0.4,3.1,0.573,0.312,0.741,2022
Domantas Sabonis,PF,25.0,47.0,46.0,34.7,18.9,12.1,5.0,1.0,0.5,3.0,0.58,0.324,0.74,2022
Jordan Poole,SG,22.0,76.0,51.0,30.0,18.5,3.4,4.0,0.8,0.3,2.5,0.448,0.364,0.925,2022
Russell Westbrook,PG,33.0,78.0,78.0,34.3,18.5,7.4,7.1,1.0,0.3,3.8,0.444,0.298,0.667,2022
Dillon Brooks,SF,26.0,32.0,31.0,27.7,18.4,3.2,2.8,1.1,0.3,1.6,0.432,0.309,0.849,2022
