Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Jrue Holiday,PG,31.0,67.0,64.0,33.0,18.3,4.5,6.8,1.6,0.4,2.7,0.501,0.411,0.761,2022
Gary Trent Jr.,SG,23.0,70.0,69.0,35.0,18.3,2.7,2.0,1.7,0.3,1.0,0.414,0.383,0.853,2022
Desmond Bane,SG,23.0,76.0,76.0,29.8,18.2,4.4,2.7,1.2,0.4,1.5,0.461,0.436,0.903,2022
Bojan Bogdanović,PF,32.0,69.0,69.0,30.9,18.1,4.3,1.7,0.5,0.0,1.7,0.455,0.387,0.858,2022
D'Angelo Russell,PG,25.0,65.0,65.0,32.0,18.1,3.3,7.1,1.0,0.3,2.5,0.411,0.34,0.825,2022
Christian Wood,C,26.0,68.0,67.0,30.8,17.9,10.1,2.3,0.8,1.0,1.9,0.501,0.39,0.623,2022
Jonas Valančiūnas,C,29.0,74.0,74.0,30.3,17.8,11.4,2.6,0.6,0.8,2.4,0.544,0.361,0.82,2022
Nikola Vučević,C,31.0,73.0,73.0,33.1,17.6,11.0,3.2,1.0,1.0,1.9,0.473,0.314,0.76,2022
Tyrese Maxey,PG,21.0,75.0,74.0,35.3,17.5,3.2,4.3,0.7,0.4,1.2,0.485,0.427,0.866,2022
Cade Cunningham,SG,20.0,64.0,64.0,32.6,17.4,5.5,5.6,1.2,0.7,3.7,0.416,0.314,0.845,2022
Jalen Green,SG,19.0,67.0,67.0,31.9,17.3,3.4,2.6,0.7,0.3,2.0,0.426,0.343,0.797,2022
Anfernee Simons,SG,22.0,57.0,30.0,29.5,17.3,2.6,3.9,0.5,0.1,2.0,0.443,0.405,0.888,2022
Deandre Ayton,C,23.0,58.0,58.0,29.5,17.2,10.2,1.4,0.7,0.7,1.6,0.634,0.368,0.746,2022
Luguentz Dort,SG,22.0,51.0,51.0,32.6,17.2,4.2,1.7,0.9,0.4,1.7,0.404,0.332,0.843,2022
Tobias Harris,PF,29.0,73.0,73.0,34.8,17.2,6.8,3.5,0.6,0.6,1.6,0.482,0.367,0.842,2022
Andrew Wiggins,SF,26.0,73.0,73.0,31.9,17.2,4.5,2.2,1.0,0.7,1.5,0.466,0.393,0.634,2022
OG Anunoby,SF,24.0,48.0,48.0,36.0,17.1,5.5,2.6,1.5,0.5,1.7,0.443,0.363,0.754,2022
Kyle Kuzma,PF,26.0,66.0,66.0,33.4,17.1,8.5,3.5,0.6,0.9,2.6,0.452,0.341,0.712,2022
Caris LeVert,SG,27.0,58.0,49.0,30.7,17.0,3.7,4.3,0.9,0.4,1.9,0.444,0.32,0.756,2022
Caris LeVert,SG,27.0,39.0,39.0,31.1,18.7,3.8,4.4,0.9,0.5,1.9,0.447,0.323,0.76,2022
Keldon Johnson,SF,22.0,75.0,74.0,31.9,17.0,6.1,2.1,0.8,0.2,1.2,0.466,0.398,0.756,2022
Reggie Jackson,SG,31.0,75.0,75.0,31.2,16.8,3.6,4.8,0.7,0.2,2.3,0.392,0.326,0.847,2022
Harrison Barnes,PF,29.0,77.0,77.0,33.5,16.4,5.6,2.4,0.7,0.2,1.5,0.469,0.394,0.826,2022
Cole Anthony,PG,21.0,65.0,65.0,31.7,16.3,5.4,5.7,0.7,0.3,2.6,0.391,0.338,0.854,2022
Jalen Brunson,SG,25.0,79.0,61.0,31.9,16.3,3.9,4.8,0.8,0.0,1.6,0.502,0.373,0.84,2022
Jaren Jackson Jr.,PF,22.0,78.0,78.0,27.3,16.3,5.8,1.1,0.9,2.3,1.7,0.415,0.319,0.823,2022
John Collins,PF,24.0,54.0,53.0,30.8,16.2,7.8,1.8,0.6,1.0,1.1,0.526,0.364,0.793,2022
Jarrett Allen,C,23.0,56.0,56.0,32.3,16.1,10.8,1.6,0.8,1.3,1.7,0.677,0.1,0.708,2022
Saddiq Bey,SF,22.0,82.0,82.0,33.0,16.1,5.4,2.8,0.9,0.2,1.2,0.396,0.346,0.827,2022
Jordan Clarkson,SG,29.0,79.0,1.0,27.1,16.0,3.5,2.5,0.8,0.2,1.6,0.419,0.318,0.828,2022
Gordon Hayward,SF,31.0,49.0,48.0,31.9,15.9,4.6,3.6,1.0,0.4,1.7,0.459,0.391,0.846,2022
Buddy Hield,SG,29.0,81.0,32.0,30.9,15.6,4.4,2.8,0.9,0.3,1.9,0.406,0.366,0.874,2022
Buddy Hield,SG,29.0,55.0,6.0,28.6,14.4,4.0,1.9,0.9,0.3,1.6,0.382,0.368,0.87,2022
Buddy Hield,SG,29.0,26.0,26.0,35.6,18.2,5.1,4.8,1.0,0.4,2.4,0.447,0.362,0.886,2022
Rudy Gobert,C,29.0,66.0,66.0,32.1,15.6,14.7,1.1,0.7,2.1,1.8,0.713,0.0,0.69,2022
Kevin Porter Jr.,PG,21.0,61.0,61.0,31.3,15.6,4.4,6.2,1.1,0.4,3.1,0.415,0.375,0.642,2022
Marcus Morris,PF,32.0,54.0,54.0,29.0,15.4,4.4,2.1,0.5,0.3,1.3,0.434,0.367,0.872,2022
Tyrese Haliburton,PG,21.0,77.0,77.0,35.0,15.3,4.0,8.2,1.7,0.6,2.6,0.473,0.414,0.842,2022
Tyrese Haliburton,SG,21.0,51.0,51.0,34.5,14.3,3.9,7.4,1.7,0.7,2.3,0.457,0.413,0.837,2022
Tyrese Haliburton,PG,21.0,26.0,26.0,36.1,17.5,4.3,9.6,1.8,0.6,3.2,0.502,0.416,0.849,2022
Scottie Barnes,PF,20.0,74.0,74.0,35.4,15.3,7.5,3.5,1.1,0.7,1.8,0.492,0.301,0.735,2022
Franz Wagner,SF,20.0,79.0,79.0,30.7,15.2,4.5,2.9,0.9,0.4,1.5,0.468,0.354,0.863,2022
Bogdan Bogdanović,SG,29.0,63.0,27.0,29.3,15.1,4.0,3.1,1.1,0.2,1.1,0.431,0.368,0.843,2022
Wendell Carter Jr.,PF,22.0,62.0,61.0,29.9,15.0,10.5,2.8,0.6,0.7,1.9,0.525,0.327,0.691,2022
Seth Curry,SG,31.0,64.0,64.0,33.4,15.0,3.1,3.6,0.8,0.2,1.7,0.487,0.422,0.872,2022
Seth Curry,SG,31.0,45.0,45.0,34.8,15.0,3.4,4.0,0.8,0.2,1.9,0.485,0.4,0.877,2022
Aaron Gordon,PF,26.0,75.0,75.0,31.7,15.0,5.9,2.5,0.6,0.6,1.8,0.52,0.335,0.743,2022
Evan Mobley,PF,20.0,69.0,69.0,33.8,15.0,8.3,2.5,0.8,1.7,1.9,0.508,0.25,0.663,2022
Jusuf Nurkić,C,27.0,56.0,56.0,28.2,15.0,11.1,2.8,1.1,0.6,2.6,0.535,0.268,0.69,2022
Kelly Oubre Jr.,SF,26.0,76.0,13.0,26.3,15.0,4.0,1.1,1.0,0.4,0.9,0.44,0.345,0.667,2022
Josh Hart,SG,26.0,54.0,53.0,33.2,14.9,7.2,4.1,1.1,0.2,2.1,0.504,0.343,0.758,2022
Josh Hart,SG,26.0,41.0,40.0,33.5,13.4,7.8,4.1,1.1,0.3,2.0,0.505,0.323,0.753,2022
Lauri Markkanen,SF,24.0,61.0,61.0,30.8,14.8,5.7,1.3,0.7,0.5,0.9,0.445,0.358,0.868,2022
Will Barton,SG,31.0,71.0,71.0,32.1,14.7,4.8,3.9,0.8,0.4,1.8,0.438,0.365,0.803,2022
Chris Paul,PG,36.0,65.0,65.0,32.9,14.7,4.4,10.8,1.9,0.3,2.4,0.493,0.317,0.837,2022
Bobby Portis,C,26.0,72.0,59.0,28.2,14.6,9.1,1.2,0.7,0.7,1.3,0.479,0.393,0.752,2022
Mikal Bridges,SF,25.0,82.0,82.0,34.8,14.2,4.2,2.3,1.2,0.4,0.8,0.534,0.369,0.834,2022
Tim Hardaway Jr.,SG,29.0,42.0,20.0,29.6,14.2,3.7,2.2,0.9,0.1,0.8,0.394,0.336,0.757,2022
Evan Fournier,SG,29.0,80.0,80.0,29.5,14.1,2.6,2.1,1.0,0.3,1.3,0.417,0.389,0.708,2022
Malik Monk,SG,23.0,76.0,37.0,28.1,13.8,3.4,2.9,0.8,0.4,1.6,0.473,0.391,0.795,2022
Spencer Dinwiddie,PG,28.0,67.0,51.0,29.6,13.7,4.2,5.2,0.7,0.2,1.6,0.416,0.339,0.774,2022
Spencer Dinwiddie,PG,28.0,44.0,44.0,30.2,12.6,4.7,5.8,0.6,0.2,1.7,0.376,0.31,0.811,2022
Spencer Dinwiddie,PG,28.0,23.0,7.0,28.3,15.8,3.1,3.9,0.7,0.3,1.3,0.498,0.404,0.725,2022
Mike Conley,PG,34.0,72.0,72.0,28.6,13.7,3.0,5.3,1.3,0.3,1.7,0.435,0.408,0.796,2022
Kevin Love,C,33.0,74.0,4.0,22.5,13.6,7.2,2.2,0.4,0.2,1.3,0.43,0.392,0.838,2022
Dennis Schröder,PG,28.0,64.0,29.0,28.7,13.5,3.3,4.6,0.8,0.1,2.2,0.431,0.344,0.853,2022
Dennis Schröder,PG,28.0,49.0,25.0,29.2,14.4,3.3,4.2,0.8,0.1,2.1,0.44,0.349,0.848,2022
Jakob Poeltl,C,26.0,68.0,67.0,29.0,13.5,9.3,2.8,0.7,1.7,1.6,0.618,1.0,0.495,2022
Eric Gordon,SG,33.0,57.0,46.0,29.3,13.4,2.0,2.7,0.5,0.3,1.9,0.475,0.412,0.778,2022
De'Andre Hunter,SF,24.0,53.0,52.0,29.8,13.4,3.3,1.3,0.7,0.4,1.3,0.442,0.379,0.765,2022
Kyle Lowry,PG,35.0,63.0,63.0,33.9,13.4,4.5,7.5,1.1,0.3,2.7,0.44,0.377,0.851,2022
Carmelo Anthony,PF,37.0,69.0,3.0,26.0,13.3,4.2,1.0,0.7,0.8,0.9,0.441,0.375,0.83,2022
Derrick White,SG,27.0,75.0,52.0,29.3,13.2,3.5,4.9,0.9,0.8,1.6,0.421,0.312,0.864,2022
Derrick White,SG,27.0,49.0,48.0,30.3,14.4,3.5,5.6,1.0,0.9,1.8,0.426,0.314,0.869,2022
Derrick White,SG,27.0,26.0,4.0,27.4,11.0,3.4,3.5,0.6,0.6,1.2,0.409,0.306,0.853,2022
Kentavious Caldwell-Pope,SG,28.0,77.0,77.0,30.2,13.2,3.4,1.9,1.1,0.3,1.3,0.435,0.39,0.89,2022
Montrezl Harrell,C,28.0,71.0,3.0,23.1,13.1,6.1,2.0,0.4,0.6,1.0,0.645,0.235,0.716,2022
Montrezl Harrell,C,28.0,46.0,3.0,24.3,14.1,6.7,2.1,0.4,0.7,1.1,0.645,0.267,0.727,2022
Montrezl Harrell,C,28.0,25.0,0.0,21.0,11.4,4.9,2.0,0.4,0.5,0.9,0.645,0.0,0.692,2022
Chris Duarte,SG,24.0,55.0,39.0,28.0,13.1,4.1,2.1,1.0,0.2,1.6,0.432,0.369,0.804,2022
Ricky Rubio,PG,31.0,34.0,8.0,28.5,13.1,4.1,6.6,1.4,0.2,2.6,0.363,0.339,0.854,2022
Lonzo Ball,PG,24.0,35.0,35.0,34.6,13.0,5.4,5.1,1.8,0.9,2.3,0.423,0.423,0.75,2022
LaMarcus Aldridge,C,36.0,47.0,12.0,22.3,12.9,5.5,0.9,0.3,1.0,0.9,0.55,0.304,0.873,2022
Myles Turner,C,25.0,42.0,42.0,29.4,12.9,7.1,1.0,0.7,2.8,1.3,0.509,0.333,0.752,2022
Brandon Williams,PG,22.0,24.0,16.0,26.7,12.9,3.1,3.9,1.0,0.4,2.4,0.372,0.292,0.701,2022
Coby White,PG,21.0,61.0,17.0,27.5,12.7,3.0,2.9,0.5,0.2,1.1,0.433,0.385,0.857,2022
Monte Morris,PG,26.0,75.0,74.0,29.9,12.6,3.0,4.4,0.7,0.2,1.0,0.484,0.395,0.869,2022
Josh Giddey,SF,19.0,54.0,54.0,31.5,12.5,7.8,6.4,0.9,0.4,3.2,0.419,0.263,0.709,2022
Cameron Johnson,PF,25.0,66.0,16.0,26.2,12.5,4.1,1.5,0.9,0.2,0.7,0.46,0.425,0.86,2022
Devin Vassell,SF,21.0,71.0,32.0,27.3,12.3,4.3,1.9,1.1,0.6,0.8,0.427,0.361,0.838,2022
Malik Beasley,SG,25.0,79.0,18.0,25.0,12.1,2.9,1.5,0.5,0.2,0.5,0.391,0.377,0.817,2022
Kevin Huerter,SF,23.0,74.0,60.0,29.6,12.1,3.4,2.7,0.7,0.4,1.2,0.454,0.389,0.808,2022
Marcus Smart,PG,27.0,71.0,71.0,32.3,12.1,3.8,5.9,1.7,0.3,2.2,0.418,0.331,0.793,2022
Lonnie Walker IV,SG,23.0,70.0,6.0,23.0,12.1,2.6,2.2,0.6,0.3,1.0,0.407,0.314,0.784,2022
Derrick Rose,PG,33.0,26.0,4.0,24.5,12.0,3.0,4.0,0.8,0.5,1.5,0.445,0.402,0.968,2022
Devonte' Graham,PG,26.0,76.0,63.0,28.4,11.9,2.3,4.2,0.9,0.2,1.4,0.363,0.341,0.843,2022
Luke Kennard,SG,25.0,70.0,13.0,27.4,11.9,3.3,2.1,0.6,0.1,0.9,0.449,0.449,0.896,2022
Jalen Suggs,PG,20.0,48.0,45.0,27.2,11.8,3.6,4.4,1.2,0.4,3.0,0.361,0.214,0.773,2022
Jae'Sean Tate,PF,26.0,78.0,77.0,26.4,11.8,5.4,2.8,0.9,0.5,1.8,0.498,0.312,0.707,2022
Alec Burks,SG,30.0,81.0,44.0,28.6,11.7,4.9,3.0,1.0,0.3,1.1,0.391,0.404,0.822,2022
Danilo Gallinari,PF,33.0,66.0,18.0,25.3,11.7,4.7,1.5,0.4,0.2,0.6,0.434,0.381,0.904,2022
Kemba Walker,PG,31.0,37.0,37.0,25.6,11.6,3.0,3.5,0.7,0.2,1.3,0.403,0.367,0.845,2022
Davion Mitchell,PG,23.0,75.0,19.0,27.7,11.5,2.2,4.2,0.7,0.3,1.5,0.418,0.316,0.659,2022
Patty Mills,SG,33.0,81.0,48.0,29.0,11.4,1.9,2.3,0.6,0.2,0.9,0.408,0.4,0.814,2022
Marvin Bagley III,PF,22.0,48.0,25.0,24.0,11.3,7.0,0.8,0.5,0.4,0.8,0.504,0.237,0.663,2022
Marvin Bagley III,PF,22.0,30.0,17.0,22.1,9.3,7.2,0.6,0.3,0.4,0.7,0.463,0.242,0.745,2022
Rui Hachimura,PF,23.0,42.0,13.0,22.5,11.3,3.8,1.1,0.5,0.2,0.8,0.491,0.447,0.697,2022
Doug McDermott,PF,30.0,51.0,51.0,24.0,11.3,2.3,1.3,0.3,0.1,0.8,0.462,0.422,0.784,2022
Immanuel Quickley,PG,22.0,78.0,3.0,23.1,11.3,3.2,3.5,0.7,0.0,1.3,0.392,0.346,0.881,2022
Grayson Allen,SG,26.0,66.0,61.0,27.3,11.1,3.4,1.5,0.7,0.3,0.7,0.448,0.409,0.865,2022
Clint Capela,C,27.0,74.0,73.0,27.6,11.1,11.9,1.2,0.7,1.3,0.6,0.613,0.0,0.473,2022
Gary Harris,SG,27.0,61.0,30.0,28.4,11.1,2.0,1.8,1.0,0.1,1.0,0.434,0.384,0.874,2022
Hamidou Diallo,SG,23.0,58.0,29.0,21.9,11.0,4.8,1.3,1.2,0.3,1.0,0.496,0.247,0.65,2022
Dorian Finney-Smith,PF,28.0,80.0,80.0,33.1,11.0,4.7,1.9,1.1,0.5,1.0,0.471,0.395,0.675,2022
Duncan Robinson,SG,27.0,79.0,68.0,25.9,10.9,2.6,1.6,0.5,0.2,0.8,0.399,0.372,0.836,2022
Darius Bazley,PF,21.0,69.0,53.0,27.9,10.8,6.3,1.4,0.8,1.0,1.3,0.422,0.297,0.688,2022
Terance Mann,SF,25.0,81.0,33.0,28.6,10.8,5.2,2.6,0.7,0.3,1.0,0.484,0.365,0.78,2022
De'Anthony Melton,SG,23.0,73.0,15.0,22.7,10.8,4.5,2.7,1.4,0.5,1.5,0.404,0.374,0.75,2022
Cameron Payne,PG,27.0,58.0,12.0,22.0,10.8,3.0,4.9,0.7,0.3,1.8,0.409,0.336,0.843,2022
Cedi Osman,SF,26.0,66.0,3.0,22.2,10.7,2.2,2.0,0.8,0.2,1.0,0.432,0.357,0.664,2022
Nickeil Alexander-Walker,SG,23.0,65.0,21.0,22.6,10.6,2.9,2.4,0.7,0.4,1.4,0.372,0.311,0.743,2022
Nickeil Alexander-Walker,SG,23.0,50.0,19.0,26.3,12.8,3.3,2.8,0.8,0.4,1.7,0.375,0.311,0.722,2022
Mo Bamba,C,23.0,71.0,69.0,25.7,10.6,8.1,1.2,0.5,1.7,1.1,0.48,0.381,0.781,2022
Frank Jackson,PG,23.0,53.0,7.0,22.0,10.6,1.6,1.0,0.5,0.2,0.7,0.402,0.308,0.827,2022
Max Strus,SF,25.0,68.0,16.0,23.3,10.6,3.0,1.4,0.4,0.2,0.8,0.441,0.41,0.792,2022
Trey Lyles,PF,26.0,75.0,23.0,20.5,10.5,5.1,1.2,0.4,0.4,1.0,0.466,0.321,0.802,2022
Trey Lyles,PF,26.0,51.0,3.0,19.4,10.4,4.8,1.1,0.4,0.5,1.1,0.456,0.301,0.784,2022
Trey Lyles,PF,26.0,24.0,20.0,22.8,10.6,5.6,1.3,0.3,0.3,0.8,0.489,0.365,0.851,2022
Brandon Clarke,PF,25.0,64.0,1.0,19.5,10.4,5.3,1.3,0.6,1.1,0.5,0.644,0.227,0.654,2022
Terence Davis,SG,24.0,30.0,11.0,17.9,10.4,3.1,1.3,0.8,0.4,1.1,0.423,0.329,0.818,2022
Richaun Holmes,C,28.0,45.0,37.0,23.9,10.4,7.0,1.1,0.4,0.9,1.2,0.66,0.4,0.778,2022
Tre Mann,PG,20.0,60.0,26.0,22.8,10.4,2.9,1.5,0.8,0.2,1.2,0.393,0.36,0.793,2022
Jeff Green,PF,35.0,75.0,63.0,24.7,10.3,3.1,1.3,0.4,0.4,0.9,0.524,0.315,0.833,2022
P.J. Washington,C,23.0,65.0,28.0,27.2,10.3,5.2,2.3,0.9,0.9,1.3,0.47,0.365,0.716,2022
Ivica Zubac,C,24.0,76.0,76.0,24.4,10.3,8.5,1.6,0.5,1.0,1.5,0.626,,0.727,2022
Josh Richardson,SG,28.0,65.0,7.0,24.6,10.2,2.8,1.8,0.9,0.4,1.0,0.438,0.415,0.889,2022
Josh Richardson,SG,28.0,44.0,0.0,24.7,9.7,2.8,1.5,0.8,0.5,0.9,0.443,0.397,0.859,2022
Josh Richardson,SG,28.0,21.0,7.0,24.4,11.4,2.9,2.3,1.0,0.3,1.3,0.429,0.444,0.946,2022
Al Horford,C,35.0,69.0,69.0,29.1,10.2,7.7,3.4,0.7,1.3,0.9,0.467,0.336,0.842,2022
Ben McLemore,SG,28.0,64.0,6.0,20.1,10.2,1.6,0.9,0.6,0.2,0.9,0.401,0.362,0.818,2022
Cam Reddish,SF,22.0,49.0,7.0,20.7,10.1,2.1,1.0,1.0,0.3,1.2,0.404,0.359,0.902,2022
Cam Reddish,SF,22.0,34.0,7.0,23.4,11.9,2.5,1.1,1.0,0.3,1.3,0.402,0.379,0.9,2022
Justin Holiday,SF,32.0,74.0,65.0,27.8,10.1,2.6,1.7,0.8,0.4,0.9,0.394,0.367,0.806,2022
Justin Holiday,SF,32.0,49.0,40.0,28.9,11.0,2.8,1.8,0.7,0.4,1.0,0.415,0.378,0.829,2022
Justin Holiday,SG,32.0,25.0,25.0,25.6,8.3,2.2,1.5,0.8,0.6,0.8,0.348,0.342,0.762,2022
Bones Hyland,SG,21.0,69.0,4.0,19.0,10.1,2.7,2.8,0.6,0.3,1.2,0.403,0.366,0.856,2022
Isaiah Roby,PF,23.0,45.0,28.0,21.1,10.1,4.8,1.6,0.8,0.8,1.0,0.514,0.444,0.672,2022
Talen Horton-Tucker,SG,21.0,60.0,19.0,25.2,10.0,3.2,2.7,1.0,0.5,1.4,0.416,0.269,0.8,2022
Garrison Mathews,SG,25.0,65.0,33.0,26.3,10.0,2.9,1.0,0.9,0.4,0.6,0.399,0.36,0.794,2022
Terrence Ross,SG,30.0,63.0,0.0,23.0,10.0,2.6,1.8,0.4,0.2,1.2,0.397,0.292,0.862,2022
Robert Williams,C,24.0,61.0,61.0,29.6,10.0,9.6,2.0,0.9,2.2,1.0,0.736,0.0,0.722,2022
Eric Bledsoe,PG,32.0,54.0,29.0,25.2,9.9,3.4,4.2,1.3,0.4,2.1,0.421,0.313,0.761,2022
