Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Joel Embiid,C,29.0,39.0,39.0,33.6,34.7,11.0,5.6,1.2,1.7,3.8,0.529,0.388,0.883,2024
Luka Dončić,PG,24.0,70.0,70.0,37.5,33.9,9.2,9.8,1.4,0.5,4.0,0.487,0.382,0.786,2024
Giannis Antetokounmpo,PF,29.0,73.0,73.0,35.2,30.4,11.5,6.5,1.2,1.1,3.4,0.611,0.274,0.657,2024
Shai Gilgeous-Alexander,PG,25.0,75.0,75.0,34.0,30.1,5.5,6.2,2.0,0.9,2.2,0.535,0.353,0.874,2024
Jalen Brunson,PG,27.0,77.0,77.0,35.4,28.7,3.6,6.7,0.9,0.2,2.4,0.479,0.401,0.847,2024
Devin Booker,PG,27.0,68.0,68.0,36.0,27.1,4.5,6.9,0.9,0.4,2.6,0.492,0.364,0.886,2024
Kevin Durant,PF,35.0,75.0,75.0,37.2,27.1,6.6,5.0,0.9,1.2,3.3,0.523,0.413,0.856,2024
Jayson Tatum,PF,25.0,74.0,74.0,35.7,26.9,8.1,4.9,1.0,0.6,2.5,0.471,0.376,0.833,2024
De'Aaron Fox,PG,26.0,74.0,74.0,35.9,26.6,4.6,5.6,2.0,0.4,2.6,0.465,0.369,0.738,2024
Donovan Mitchell,SG,27.0,55.0,55.0,35.3,26.6,5.1,6.1,1.8,0.5,2.8,0.462,0.368,0.865,2024
Stephen Curry,PG,35.0,74.0,74.0,32.7,26.4,4.5,5.1,0.7,0.4,2.8,0.45,0.408,0.923,2024
Nikola Jokić,C,28.0,79.0,79.0,34.6,26.4,12.4,9.0,1.4,0.9,3.0,0.583,0.359,0.817,2024
Anthony Edwards,SG,22.0,79.0,78.0,35.1,25.9,5.4,5.1,1.3,0.5,3.1,0.461,0.357,0.836,2024
Tyrese Maxey,PG,23.0,70.0,70.0,37.5,25.9,3.7,6.2,1.0,0.5,1.7,0.45,0.373,0.868,2024
LeBron James,PF,39.0,71.0,71.0,35.3,25.7,7.3,8.3,1.3,0.5,3.5,0.54,0.41,0.75,2024
Trae Young,PG,25.0,54.0,54.0,36.0,25.7,2.8,10.8,1.3,0.2,4.4,0.43,0.373,0.855,2024
Kyrie Irving,SG,31.0,58.0,58.0,35.0,25.6,5.0,5.2,1.3,0.5,1.8,0.497,0.411,0.905,2024
Anthony Davis,C,30.0,76.0,76.0,35.5,24.7,12.6,3.5,1.2,2.3,2.1,0.556,0.271,0.816,2024
Damian Lillard,PG,33.0,73.0,73.0,35.3,24.3,4.4,7.0,1.0,0.2,2.6,0.424,0.354,0.92,2024
DeMar DeRozan,SF,34.0,79.0,79.0,37.8,24.0,4.3,5.3,1.1,0.6,1.7,0.48,0.333,0.853,2024
Julius Randle,PF,29.0,46.0,46.0,35.4,24.0,9.2,5.0,0.5,0.3,3.5,0.472,0.311,0.781,2024
LaMelo Ball,PG,22.0,22.0,22.0,32.3,23.9,5.1,8.0,1.8,0.2,3.8,0.433,0.355,0.865,2024
Desmond Bane,SG,25.0,42.0,42.0,34.4,23.7,4.4,5.5,1.0,0.5,2.7,0.464,0.381,0.87,2024
Kawhi Leonard,SF,32.0,68.0,68.0,34.3,23.7,6.1,3.6,1.6,0.9,1.8,0.525,0.417,0.885,2024
Lauri Markkanen,PF,26.0,55.0,55.0,33.1,23.2,8.2,2.0,0.9,0.5,1.4,0.48,0.399,0.899,2024
Jaylen Brown,SF,27.0,70.0,70.0,33.5,23.0,5.5,3.6,1.2,0.5,2.4,0.499,0.354,0.703,2024
Zion Williamson,PF,23.0,70.0,70.0,31.5,22.9,5.8,5.0,1.1,0.7,2.8,0.57,0.333,0.702,2024
Cade Cunningham,PG,22.0,62.0,62.0,33.5,22.7,4.3,7.5,0.9,0.4,3.4,0.449,0.355,0.869,2024
Paolo Banchero,PF,21.0,80.0,80.0,35.0,22.6,6.9,5.4,0.9,0.6,3.1,0.455,0.339,0.725,2024
Paul George,PF,33.0,74.0,74.0,33.8,22.6,5.2,3.5,1.5,0.5,2.1,0.471,0.413,0.907,2024
Anfernee Simons,SG,24.0,46.0,46.0,34.4,22.6,3.6,5.5,0.5,0.1,2.7,0.43,0.385,0.916,2024
Jaren Jackson Jr.,C,24.0,66.0,66.0,32.2,22.5,5.5,2.3,1.2,1.6,2.4,0.444,0.32,0.808,2024
Dejounte Murray,SG,27.0,78.0,78.0,35.7,22.5,5.3,6.4,1.4,0.3,2.6,0.459,0.363,0.794,2024
Cam Thomas,SG,22.0,66.0,51.0,31.4,22.5,3.2,2.9,0.7,0.2,1.9,0.442,0.364,0.856,2024
Kyle Kuzma,PF,28.0,70.0,70.0,32.6,22.2,6.6,4.2,0.5,0.7,2.7,0.463,0.336,0.775,2024
Karl-Anthony Towns,PF,28.0,62.0,62.0,32.7,21.8,8.3,3.0,0.7,0.7,2.9,0.504,0.416,0.873,2024
