Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Russell Westbrook,PG,28.0,81.0,81.0,34.6,31.6,10.7,10.4,1.6,0.4,5.4,0.425,0.343,0.845,2017
James Harden,PG,27.0,81.0,81.0,36.4,29.1,8.1,11.2,1.5,0.5,5.7,0.44,0.347,0.847,2017
Isaiah Thomas,PG,27.0,76.0,76.0,33.8,28.9,2.7,5.9,0.9,0.2,2.8,0.463,0.379,0.909,2017
Anthony Davis,C,23.0,75.0,75.0,36.1,28.0,11.8,2.1,1.3,2.2,2.4,0.505,0.299,0.802,2017
DeMar DeRozan,SG,27.0,74.0,74.0,35.4,27.3,5.2,3.9,1.1,0.2,2.4,0.467,0.266,0.842,2017
DeMarcus Cousins,C,26.0,72.0,72.0,34.2,27.0,11.0,4.6,1.4,1.3,3.7,0.452,0.361,0.772,2017
DeMarcus Cousins,C,26.0,55.0,55.0,34.4,27.8,10.6,4.8,1.4,1.3,3.8,0.452,0.356,0.77,2017
Damian Lillard,PG,26.0,75.0,75.0,35.9,27.0,4.9,5.9,0.9,0.3,2.6,0.444,0.37,0.895,2017
LeBron James,SF,32.0,74.0,74.0,37.8,26.4,8.6,8.7,1.2,0.6,4.1,0.548,0.363,0.674,2017
Kawhi Leonard,SF,25.0,74.0,74.0,33.4,25.5,5.8,3.5,1.8,0.7,2.1,0.485,0.38,0.88,2017
Stephen Curry,PG,28.0,79.0,79.0,33.4,25.3,4.5,6.6,1.8,0.2,3.0,0.468,0.411,0.898,2017
Kyrie Irving,PG,24.0,72.0,72.0,35.1,25.2,3.2,5.8,1.2,0.3,2.5,0.473,0.401,0.905,2017
Kevin Durant,PF,28.0,62.0,62.0,33.4,25.1,8.3,4.8,1.1,1.6,2.2,0.537,0.375,0.875,2017
Karl-Anthony Towns,C,21.0,82.0,82.0,37.0,25.1,12.3,2.7,0.7,1.3,2.6,0.542,0.367,0.832,2017
Jimmy Butler,SF,27.0,76.0,75.0,37.0,23.9,6.2,5.5,1.9,0.4,2.1,0.455,0.367,0.865,2017
Paul George,SF,26.0,75.0,75.0,35.9,23.7,6.6,3.3,1.6,0.4,2.9,0.461,0.393,0.898,2017
Andrew Wiggins,SF,21.0,82.0,82.0,37.2,23.6,4.0,2.3,1.0,0.4,2.3,0.452,0.356,0.76,2017
Kemba Walker,PG,26.0,79.0,79.0,34.7,23.2,3.9,5.5,1.1,0.3,2.1,0.444,0.399,0.847,2017
Bradley Beal,SG,23.0,77.0,77.0,34.9,23.1,3.1,3.5,1.1,0.3,2.0,0.482,0.404,0.825,2017
John Wall,PG,26.0,78.0,78.0,36.4,23.1,4.2,10.7,2.0,0.6,4.1,0.451,0.327,0.801,2017
CJ McCollum,SG,25.0,80.0,80.0,35.0,23.0,3.6,3.6,0.9,0.5,2.2,0.48,0.421,0.912,2017
Giannis Antetokounmpo,SF,22.0,80.0,80.0,35.6,22.9,8.8,5.4,1.6,1.9,2.9,0.521,0.272,0.77,2017
Carmelo Anthony,SF,32.0,74.0,74.0,34.3,22.4,5.9,2.9,0.8,0.5,2.1,0.433,0.359,0.833,2017
Kyle Lowry,PG,30.0,60.0,60.0,37.4,22.4,4.8,7.0,1.5,0.3,2.9,0.464,0.412,0.819,2017
Klay Thompson,SG,26.0,78.0,78.0,34.0,22.3,3.7,2.1,0.8,0.5,1.6,0.468,0.414,0.853,2017
Devin Booker,SG,20.0,78.0,78.0,35.0,22.1,3.2,3.4,0.9,0.3,3.1,0.423,0.363,0.832,2017
Gordon Hayward,SF,26.0,73.0,73.0,34.5,21.9,5.4,3.5,1.0,0.3,1.9,0.471,0.398,0.844,2017
Blake Griffin,PF,27.0,61.0,61.0,34.0,21.6,8.1,4.9,0.9,0.4,2.3,0.493,0.336,0.76,2017
Eric Bledsoe,PG,27.0,66.0,66.0,33.0,21.1,4.8,6.3,1.4,0.5,3.4,0.434,0.335,0.847,2017
Mike Conley,PG,29.0,69.0,68.0,33.2,20.5,3.5,6.3,1.3,0.3,2.3,0.46,0.408,0.859,2017
Brook Lopez,C,28.0,75.0,75.0,29.6,20.5,5.4,2.3,0.5,1.7,2.5,0.474,0.346,0.81,2017
Goran Dragić,PG,30.0,73.0,73.0,33.7,20.3,3.8,5.8,1.2,0.2,2.9,0.475,0.405,0.79,2017
Joel Embiid,C,22.0,31.0,31.0,25.4,20.2,7.8,2.1,0.9,2.5,3.8,0.466,0.367,0.783,2017
Jabari Parker,PF,21.0,51.0,50.0,33.9,20.1,6.2,2.8,1.0,0.4,1.8,0.49,0.365,0.743,2017
Marc Gasol,C,32.0,74.0,74.0,34.2,19.5,6.3,4.6,0.9,1.3,2.2,0.459,0.388,0.837,2017
Harrison Barnes,PF,24.0,79.0,79.0,35.5,19.2,5.0,1.5,0.8,0.2,1.3,0.468,0.351,0.861,2017
Kevin Love,PF,28.0,60.0,60.0,31.4,19.0,11.1,1.9,0.9,0.4,2.0,0.427,0.373,0.871,2017
Zach LaVine,SG,21.0,47.0,47.0,37.2,18.9,3.4,3.0,0.9,0.2,1.8,0.459,0.387,0.836,2017
Rudy Gay,SF,30.0,30.0,30.0,33.8,18.7,6.3,2.8,1.5,0.9,2.5,0.455,0.372,0.855,2017
Dwyane Wade,SG,35.0,60.0,59.0,29.9,18.3,4.5,3.8,1.4,0.7,2.3,0.434,0.31,0.794,2017
Danilo Gallinari,SF,28.0,63.0,63.0,33.9,18.2,5.2,2.1,0.6,0.2,1.3,0.447,0.389,0.902,2017
Paul Millsap,PF,31.0,69.0,67.0,34.0,18.1,7.7,3.7,1.3,0.9,2.3,0.442,0.311,0.768,2017
Chris Paul,PG,31.0,61.0,61.0,31.5,18.1,5.0,9.2,2.0,0.1,2.4,0.476,0.411,0.892,2017
Kristaps Porziņģis,PF,21.0,66.0,65.0,32.8,18.1,7.2,1.5,0.7,2.0,1.8,0.45,0.357,0.786,2017
Derrick Rose,PG,28.0,64.0,64.0,32.5,18.0,3.8,4.4,0.7,0.3,2.3,0.471,0.217,0.874,2017
Dennis Schröder,PG,23.0,79.0,78.0,31.5,17.9,3.1,6.3,0.9,0.2,3.3,0.451,0.34,0.855,2017
Lou Williams,SG,30.0,81.0,1.0,24.6,17.5,2.5,3.0,1.0,0.2,2.0,0.429,0.365,0.88,2017
Lou Williams,SG,30.0,58.0,1.0,24.2,18.6,2.3,3.2,1.1,0.2,2.1,0.444,0.385,0.884,2017
Lou Williams,SG,30.0,23.0,0.0,25.7,14.9,3.0,2.4,0.7,0.4,1.7,0.386,0.318,0.867,2017
LaMarcus Aldridge,PF,31.0,72.0,72.0,32.4,17.3,7.3,1.9,0.6,1.2,1.4,0.477,0.411,0.812,2017
Evan Fournier,SG,24.0,68.0,66.0,32.9,17.2,3.1,3.0,1.0,0.1,2.1,0.439,0.356,0.805,2017
Hassan Whiteside,C,27.0,77.0,77.0,32.6,17.0,14.1,0.7,0.7,2.1,2.0,0.557,,0.628,2017
George Hill,PG,30.0,49.0,49.0,31.5,16.9,3.4,4.2,1.0,0.2,1.7,0.477,0.403,0.801,2017
Nikola Jokić,C,21.0,73.0,59.0,27.9,16.7,9.8,4.9,0.8,0.8,2.3,0.578,0.324,0.825,2017
Avery Bradley,SG,26.0,55.0,55.0,33.4,16.3,6.1,2.2,1.2,0.2,1.6,0.463,0.39,0.731,2017
Eric Gordon,SG,28.0,75.0,15.0,31.0,16.2,2.7,2.5,0.6,0.5,1.6,0.406,0.372,0.84,2017
Tobias Harris,PF,24.0,82.0,48.0,31.3,16.1,5.1,1.7,0.7,0.5,1.2,0.481,0.347,0.841,2017
Victor Oladipo,SG,24.0,67.0,67.0,33.2,15.9,4.3,2.6,1.2,0.3,1.8,0.442,0.361,0.753,2017
Dion Waiters,SG,25.0,46.0,43.0,30.1,15.8,3.3,4.3,0.9,0.4,2.2,0.424,0.395,0.646,2017
Wilson Chandler,SF,29.0,71.0,33.0,30.9,15.7,6.5,2.0,0.7,0.4,1.6,0.461,0.337,0.727,2017
D'Angelo Russell,PG,20.0,63.0,60.0,28.7,15.6,3.5,4.8,1.4,0.3,2.8,0.405,0.352,0.782,2017
Jrue Holiday,PG,26.0,67.0,61.0,32.7,15.4,3.9,7.3,1.5,0.7,2.9,0.454,0.356,0.708,2017
Jeff Teague,PG,28.0,82.0,82.0,32.4,15.3,4.0,7.8,1.2,0.4,2.6,0.442,0.357,0.867,2017
Nicolas Batum,SG,28.0,77.0,77.0,34.0,15.1,6.2,5.9,1.1,0.4,2.5,0.403,0.333,0.856,2017
JJ Redick,SG,32.0,78.0,78.0,28.2,15.0,2.2,1.4,0.7,0.2,1.3,0.445,0.429,0.891,2017
Gary Harris,SG,22.0,57.0,56.0,31.3,14.9,3.1,2.9,1.2,0.1,1.3,0.502,0.42,0.776,2017
Serge Ibaka,PF,27.0,79.0,79.0,30.7,14.8,6.8,0.9,0.5,1.6,1.3,0.48,0.391,0.856,2017
Serge Ibaka,PF,27.0,56.0,56.0,30.5,15.1,6.8,1.1,0.6,1.6,1.2,0.488,0.388,0.846,2017
Serge Ibaka,PF,27.0,23.0,23.0,31.0,14.2,6.8,0.7,0.3,1.4,1.7,0.459,0.398,0.882,2017
Jordan Clarkson,SG,24.0,82.0,19.0,29.2,14.7,3.0,2.6,1.1,0.1,2.0,0.445,0.329,0.798,2017
Khris Middleton,SF,25.0,29.0,23.0,30.7,14.7,4.2,3.4,1.4,0.2,2.2,0.45,0.433,0.88,2017
Nikola Vučević,C,26.0,75.0,55.0,28.8,14.6,10.4,2.8,1.0,1.0,1.6,0.468,0.307,0.669,2017
Tim Hardaway Jr.,SG,24.0,79.0,30.0,27.3,14.5,2.8,2.3,0.7,0.2,1.3,0.455,0.357,0.766,2017
Reggie Jackson,PG,26.0,52.0,50.0,27.4,14.5,2.2,5.2,0.7,0.1,2.2,0.419,0.359,0.868,2017
Jeremy Lin,PG,28.0,36.0,33.0,24.5,14.5,3.8,5.1,1.2,0.4,2.4,0.438,0.372,0.816,2017
