Player,Pos,Age,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,season
Stephen Curry,PG,32.0,63.0,63.0,34.2,32.0,5.5,5.8,1.2,0.1,3.4,0.482,0.421,0.916,2021
Bradley Beal,SG,27.0,60.0,60.0,35.8,31.3,4.7,4.4,1.2,0.4,3.1,0.485,0.349,0.889,2021
Damian Lillard,PG,30.0,67.0,67.0,35.8,28.8,4.2,7.5,0.9,0.3,3.0,0.451,0.391,0.928,2021
Joel Embiid,C,26.0,51.0,51.0,31.1,28.5,10.6,2.8,1.0,1.4,3.1,0.513,0.377,0.859,2021
Giannis Antetokounmpo,PF,26.0,61.0,61.0,33.0,28.1,11.0,5.9,1.2,1.2,3.4,0.569,0.303,0.685,2021
Luka Dončić,PG,21.0,66.0,66.0,34.3,27.7,8.0,8.6,1.0,0.5,4.3,0.479,0.35,0.73,2021
Zach LaVine,SG,25.0,58.0,58.0,35.1,27.4,5.0,4.9,0.8,0.5,3.5,0.507,0.419,0.849,2021
Zion Williamson,PF,20.0,61.0,61.0,33.2,27.0,7.2,3.7,0.9,0.6,2.7,0.611,0.294,0.698,2021
Kevin Durant,PF,32.0,35.0,32.0,33.1,26.9,7.1,5.6,0.7,1.3,3.4,0.537,0.45,0.882,2021
Kyrie Irving,PG,28.0,54.0,54.0,34.9,26.9,4.8,6.0,1.4,0.7,2.4,0.506,0.402,0.922,2021
Nikola Jokić,C,25.0,72.0,72.0,34.6,26.4,10.8,8.3,1.3,0.7,3.1,0.566,0.388,0.868,2021
Donovan Mitchell,PG,24.0,53.0,53.0,33.4,26.4,4.4,5.2,1.0,0.3,2.8,0.438,0.386,0.845,2021
Jayson Tatum,SF,22.0,64.0,64.0,35.8,26.4,7.4,4.3,1.2,0.5,2.7,0.459,0.386,0.868,2021
Devin Booker,SG,24.0,67.0,67.0,33.9,25.6,4.2,4.3,0.8,0.2,3.1,0.484,0.34,0.867,2021
Trae Young,PG,22.0,63.0,63.0,33.7,25.3,3.9,9.4,0.8,0.2,4.1,0.438,0.343,0.886,2021
De'Aaron Fox,PG,23.0,58.0,58.0,35.1,25.2,3.5,7.2,1.5,0.5,3.0,0.477,0.322,0.719,2021
LeBron James,PG,36.0,45.0,45.0,33.4,25.0,7.7,7.8,1.1,0.6,3.7,0.513,0.365,0.698,2021
Kawhi Leonard,SF,29.0,52.0,52.0,34.1,24.8,6.5,5.2,1.6,0.4,2.0,0.512,0.398,0.885,2021
Karl-Anthony Towns,C,25.0,50.0,50.0,33.8,24.8,10.6,4.5,0.8,1.1,3.2,0.486,0.387,0.859,2021
Jaylen Brown,SG,24.0,58.0,58.0,34.5,24.7,6.0,3.4,1.2,0.6,2.7,0.484,0.397,0.764,2021
James Harden,PG,31.0,44.0,43.0,36.6,24.6,7.9,10.8,1.2,0.8,4.0,0.466,0.362,0.861,2021
James Harden,PG,31.0,36.0,35.0,36.6,24.6,8.5,10.9,1.3,0.8,4.0,0.471,0.366,0.856,2021
Collin Sexton,SG,22.0,60.0,60.0,35.3,24.3,3.1,4.4,1.0,0.2,2.8,0.475,0.371,0.815,2021
