Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Mikal Bridges,SG,26.0,83.0,2963.0,16.8,0.587,13.7,6.8,1.8,1.5,8.2,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,2023
Mikal Bridges,SF,26.0,56.0,2040.0,14.8,0.574,14.1,6.6,2.0,1.6,8.5,19.2,2.7,2.2,4.9,0.116,0.4,0.6,1.0,1.6,2023
Mikal Bridges,SG,26.0,27.0,923.0,21.3,0.607,12.9,7.4,1.5,1.4,7.8,30.3,1.7,0.8,2.5,0.133,4.0,-0.8,3.3,1.2,2023
Anthony Edwards,SG,21.0,79.0,2842.0,17.4,0.564,19.3,9.0,1.8,2.1,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,2023
Zach LaVine,SG,27.0,77.0,2768.0,19.0,0.607,18.7,7.1,0.6,1.2,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,2023
Nikola Vučević,C,32.0,82.0,2746.0,19.1,0.594,14.6,18.6,2.0,1.1,10.2,21.9,3.9,4.4,8.3,0.145,1.9,0.7,2.7,3.2,2023
Julius Randle,PF,28.0,77.0,2737.0,20.3,0.581,18.5,15.4,0.7,0.9,11.5,29.5,5.0,3.1,8.1,0.142,3.9,-0.2,3.7,3.9,2023
Domantas Sabonis,C,26.0,79.0,2736.0,23.5,0.668,30.4,20.3,1.2,1.1,16.9,21.3,9.6,3.0,12.6,0.221,4.1,1.8,5.8,5.4,2023
Jayson Tatum,SF,24.0,74.0,2732.0,23.7,0.607,20.9,13.0,1.6,1.4,10.4,32.7,6.2,4.3,10.5,0.185,4.8,0.7,5.5,5.1,2023
Spencer Dinwiddie,SG,29.0,79.0,2725.0,16.0,0.573,28.1,5.7,0.8,1.2,10.8,22.1,4.5,1.8,6.3,0.111,1.6,-0.9,0.7,1.8,2023
Spencer Dinwiddie,SG,29.0,53.0,1808.0,16.1,0.599,23.8,5.2,0.8,1.1,10.3,21.9,3.3,1.0,4.3,0.114,2.0,-1.2,0.9,1.3,2023
Spencer Dinwiddie,PG,29.0,26.0,917.0,15.8,0.523,36.5,6.6,0.7,1.5,11.8,22.5,1.2,0.8,2.0,0.103,0.7,-0.5,0.2,0.5,2023
Evan Mobley,PF,21.0,79.0,2715.0,17.9,0.591,12.4,15.4,4.0,1.1,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5,2023
Dejounte Murray,SG,26.0,74.0,2693.0,17.0,0.54,24.0,7.9,0.6,2.0,10.2,24.4,2.4,2.3,4.7,0.084,1.1,0.0,1.0,2.1,2023
DeMar DeRozan,SF,33.0,74.0,2682.0,20.6,0.592,22.3,7.2,1.3,1.5,9.1,27.8,5.4,3.2,8.5,0.153,1.7,0.3,2.0,2.6,2023
Scottie Barnes,SF,21.0,77.0,2678.0,15.5,0.524,20.0,10.8,2.2,1.5,12.0,20.3,2.3,2.7,5.0,0.09,0.5,-0.1,0.4,1.6,2023
Harrison Barnes,PF,30.0,82.0,2662.0,14.1,0.632,6.3,7.9,0.3,1.0,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1.0,0.7,2023
Pascal Siakam,PF,28.0,71.0,2652.0,20.3,0.565,24.9,11.9,1.3,1.2,10.0,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.4,2023
CJ McCollum,PG,31.0,75.0,2649.0,15.6,0.541,25.1,7.0,1.4,1.3,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,2023
Franz Wagner,SF,21.0,80.0,2609.0,15.9,0.589,17.2,7.1,0.6,1.4,11.7,23.5,3.1,2.3,5.4,0.099,0.4,-0.5,-0.1,1.3,2023
Jalen Green,SG,20.0,76.0,2602.0,14.5,0.538,17.3,6.0,0.7,1.1,11.3,28.1,1.4,0.5,1.8,0.034,0.5,-2.6,-2.1,0.0,2023
Bam Adebayo,C,25.0,75.0,2598.0,20.1,0.592,15.9,15.5,2.4,1.7,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,2023
Trae Young,PG,24.0,73.0,2541.0,22.0,0.573,42.5,4.7,0.3,1.5,15.2,32.6,5.3,1.4,6.7,0.126,5.3,-2.0,3.3,3.4,2023
Fred VanVleet,PG,28.0,69.0,2535.0,17.0,0.54,28.1,6.3,1.5,2.4,10.2,23.2,3.7,2.8,6.5,0.123,2.0,0.5,2.5,2.9,2023
Buddy Hield,SF,30.0,80.0,2482.0,15.4,0.614,13.3,8.9,0.9,1.8,11.3,20.8,2.7,1.6,4.4,0.085,2.5,-0.6,1.9,2.4,2023
RJ Barrett,SG,22.0,73.0,2475.0,12.9,0.531,12.4,8.2,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,2023
Jordan Poole,PG,23.0,82.0,2458.0,14.6,0.573,22.5,5.0,0.8,1.2,14.7,29.2,1.4,1.9,3.2,0.063,-0.1,-1.8,-1.9,0.1,2023
Josh Hart,SF,27.0,76.0,2454.0,14.1,0.622,16.1,13.7,0.8,1.8,16.4,12.6,3.8,2.2,6.0,0.118,-0.2,1.1,0.9,1.8,2023
Josh Hart,SF,27.0,51.0,1704.0,12.7,0.586,16.0,14.1,0.5,1.5,16.0,12.6,2.0,1.2,3.2,0.091,-0.9,0.7,-0.2,0.8,2023
Josh Hart,SF,27.0,25.0,750.0,17.1,0.703,16.2,12.9,1.5,2.2,17.3,12.6,1.8,1.0,2.8,0.179,1.4,2.0,3.4,1.0,2023
Jabari Smith Jr.,PF,19.0,79.0,2451.0,11.2,0.514,5.9,12.7,3.0,0.9,9.6,18.4,0.5,1.4,1.9,0.037,-2.3,-1.3,-3.7,-1.1,2023
Trey Murphy III,SF,22.0,79.0,2448.0,15.2,0.65,6.4,6.5,1.7,1.8,6.5,16.6,4.8,2.8,7.6,0.15,1.4,0.4,1.8,2.3,2023
Darius Garland,PG,23.0,69.0,2447.0,18.8,0.587,34.1,4.5,0.3,1.7,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7,2023
Tobias Harris,SF,30.0,74.0,2436.0,14.8,0.602,11.4,10.3,1.5,1.4,9.0,18.2,3.1,2.8,5.9,0.116,0.6,0.1,0.7,1.7,2023
De'Aaron Fox,PG,25.0,73.0,2435.0,21.8,0.599,29.6,7.2,0.8,1.6,10.6,30.1,5.5,1.8,7.4,0.146,3.4,-0.9,2.5,2.7,2023
Donovan Mitchell,SG,26.0,68.0,2432.0,22.9,0.614,21.4,7.0,1.0,2.0,10.3,32.1,5.4,3.5,8.9,0.176,5.6,0.6,6.3,5.0,2023
Paolo Banchero,PF,20.0,72.0,2430.0,14.9,0.529,17.2,11.6,1.5,1.2,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,2023
Jaden McDaniels,SF,22.0,79.0,2416.0,12.0,0.611,8.4,7.1,2.7,1.5,12.6,15.8,2.0,2.4,4.4,0.087,-1.7,0.5,-1.2,0.5,2023
Shai Gilgeous-Alexander,PG,24.0,68.0,2416.0,27.2,0.626,25.7,7.3,2.5,2.2,10.1,32.8,8.4,3.0,11.4,0.226,5.7,1.5,7.3,5.6,2023
Royce O'Neale,SF,29.0,76.0,2409.0,9.2,0.538,15.3,9.0,1.7,1.3,15.5,13.6,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5,2023
Jaylen Brown,SF,26.0,67.0,2405.0,19.1,0.581,16.5,10.4,0.9,1.5,11.4,31.4,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,2023
