Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Joe Harris,SF,29.0,69.0,2141.0,14.1,0.663,8.4,6.4,0.6,1.0,7.8,16.2,4.1,1.1,5.2,0.117,1.6,-1.2,0.4,1.3,2021
Dejounte Murray,PG,24.0,67.0,2139.0,16.5,0.509,25.9,11.8,0.3,2.3,10.2,23.4,0.7,2.6,3.3,0.074,-0.2,1.0,0.8,1.5,2021
Kevin Huerter,SG,22.0,69.0,2126.0,12.2,0.541,16.3,6.0,0.7,1.9,9.4,17.2,1.9,1.7,3.6,0.08,-0.6,0.4,-0.3,1.0,2021
Trae Young,PG,22.0,63.0,2125.0,23.0,0.589,45.5,6.3,0.5,1.2,16.2,33.0,5.9,1.3,7.2,0.163,5.3,-1.7,3.7,3.0,2021
Deandre Ayton,C,22.0,69.0,2115.0,20.3,0.653,6.8,19.5,3.4,1.0,11.9,18.2,5.3,3.1,8.4,0.191,1.1,0.1,1.2,1.7,2021
Collin Sexton,SG,22.0,60.0,2115.0,18.0,0.573,22.6,4.9,0.4,1.4,11.6,29.7,2.6,0.9,3.5,0.08,1.8,-1.9,-0.2,1.0,2021
Eric Bledsoe,SG,31.0,71.0,2111.0,11.5,0.533,17.3,6.3,1.1,1.2,12.3,18.5,1.1,1.3,2.3,0.053,-1.2,-0.9,-2.0,0.0,2021
Harrison Barnes,PF,28.0,58.0,2102.0,15.4,0.626,13.0,10.2,0.4,1.0,11.1,17.2,4.0,0.5,4.5,0.103,1.5,-1.3,0.2,1.1,2021
Brandon Ingram,SF,23.0,61.0,2093.0,19.2,0.584,22.4,7.8,1.6,1.0,11.0,28.0,3.9,1.3,5.3,0.12,3.3,-1.1,2.2,2.2,2021
DeMar DeRozan,PF,31.0,61.0,2056.0,22.0,0.591,32.0,6.7,0.6,1.3,9.7,26.1,5.9,1.5,7.4,0.172,3.2,-0.1,3.1,2.6,2021
Ja Morant,PG,21.0,63.0,2053.0,16.7,0.537,33.5,6.5,0.6,1.3,15.3,27.2,1.6,1.6,3.2,0.074,1.3,-1.6,-0.4,0.8,2021
Jae'Sean Tate,SF,25.0,70.0,2043.0,13.8,0.576,13.2,9.8,1.6,2.0,12.4,16.4,2.2,1.6,3.8,0.088,-1.6,0.3,-1.4,0.3,2021
De'Aaron Fox,PG,23.0,58.0,2036.0,20.7,0.565,32.7,5.5,1.1,2.1,11.9,31.0,3.4,0.8,4.2,0.098,3.1,-1.3,1.8,2.0,2021
