Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Mikal Bridges,SF,25.0,82.0,2854.0,14.4,0.627,8.7,6.5,1.1,1.6,6.8,15.0,5.2,3.7,8.9,0.15,0.5,1.1,1.6,2.6,2022
Miles Bridges,PF,23.0,80.0,2837.0,17.9,0.593,15.7,10.4,2.2,1.3,9.9,22.6,5.0,2.3,7.2,0.123,1.8,-0.3,1.5,2.5,2022
DeMar DeRozan,PF,32.0,76.0,2743.0,23.1,0.59,23.3,8.0,0.8,1.2,9.2,31.8,7.0,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,2022
Jayson Tatum,SF,23.0,76.0,2731.0,21.8,0.578,21.1,12.1,1.6,1.4,10.9,32.1,5.0,4.6,9.6,0.169,4.3,0.6,5.0,4.8,2022
Saddiq Bey,SF,22.0,82.0,2704.0,14.0,0.529,13.8,8.8,0.5,1.3,7.1,21.3,2.4,1.6,4.0,0.071,0.9,-1.2,-0.3,1.2,2022
Tyrese Haliburton,PG,21.0,77.0,2695.0,18.2,0.595,34.1,6.3,1.6,2.4,16.7,19.0,5.2,1.8,7.0,0.125,2.7,-0.1,2.6,3.1,2022
Tyrese Haliburton,SG,21.0,51.0,1757.0,17.0,0.575,31.4,6.2,1.7,2.4,15.4,18.3,2.7,1.2,4.0,0.109,2.2,0.4,2.6,2.0,2022
Tyrese Haliburton,PG,21.0,26.0,938.0,20.5,0.629,38.9,6.7,1.4,2.5,18.9,20.3,2.5,0.6,3.0,0.156,3.8,-1.0,2.8,1.1,2022
Russell Westbrook,PG,33.0,78.0,2678.0,15.0,0.512,31.6,11.6,0.7,1.3,17.3,27.3,-0.6,2.3,1.7,0.03,-0.7,-0.9,-1.6,0.2,2022
Trae Young,PG,23.0,76.0,2652.0,25.4,0.603,46.7,5.9,0.2,1.3,14.5,34.4,9.0,1.0,10.0,0.181,7.1,-2.0,5.2,4.8,2022
Tyrese Maxey,PG,21.0,75.0,2650.0,16.2,0.594,19.1,5.1,1.1,1.0,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,2022
Dorian Finney-Smith,PF,28.0,80.0,2644.0,12.5,0.604,8.2,7.9,1.3,1.7,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,2022
Scottie Barnes,PF,20.0,74.0,2617.0,16.3,0.552,14.7,11.5,2.1,1.5,11.7,19.0,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,2022
Harrison Barnes,PF,29.0,77.0,2580.0,15.7,0.623,10.5,9.1,0.5,1.0,10.4,18.8,5.0,1.0,6.0,0.112,1.5,-1.3,0.2,1.4,2022
Pascal Siakam,PF,27.0,68.0,2578.0,20.3,0.565,23.0,12.2,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6,2022
Julius Randle,PF,27.0,72.0,2544.0,15.7,0.509,25.1,15.1,1.5,1.0,14.7,28.7,-0.3,3.4,3.1,0.059,0.4,0.2,0.5,1.6,2022
Tobias Harris,PF,29.0,73.0,2543.0,15.9,0.566,15.9,10.9,1.5,0.9,9.5,21.7,3.0,2.6,5.6,0.105,0.6,-0.6,0.0,1.3,2022
Jalen Brunson,SG,25.0,79.0,2524.0,17.1,0.583,24.3,6.8,0.1,1.3,10.1,21.9,4.9,2.7,7.5,0.143,0.9,0.0,0.9,1.9,2022
Buddy Hield,SG,29.0,81.0,2499.0,12.9,0.548,13.8,7.8,0.9,1.4,11.7,22.4,0.8,1.1,1.9,0.036,0.5,-1.7,-1.2,0.5,2022
Buddy Hield,SG,29.0,55.0,1574.0,11.9,0.54,10.0,7.6,0.8,1.5,10.9,22.5,0.0,0.8,0.7,0.023,0.2,-1.5,-1.3,0.3,2022
