Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
Aaron Holiday,2022,3,Playmaking Guard,0.08460042971756804,-0.957140389994423,0.9142691024560587,11.3,0.547,-2.1,0.0,17.1,5.6,1.2,1.8,14.5
Aaron Holiday,2022,3,Playmaking Guard,0.2306562174023054,-0.09533424713444641,2.344196558244215,14.9,0.538,-0.8,0.1,27.4,8.2,0.0,2.4,16.8
Aaron Holiday,2022,3,Playmaking Guard,0.2306562174023054,-0.09533424713444641,2.344196558244215,14.9,0.538,-0.8,0.1,27.4,8.2,0.0,2.4,16.8
Aaron Holiday,2022,3,Playmaking Guard,0.2306562174023054,-0.09533424713444641,2.344196558244215,14.9,0.538,-0.8,0.1,27.4,8.2,0.0,2.4,16.8
Aaron Holiday,2023,0,Elite Scorer,-0.031616964058217845,-1.3604118874042836,0.8970889829202341,9.4,0.528,-2.0,0.0,13.0,4.8,1.2,2.1,13.3
Aaron Holiday,2024,2,Defensive Anchor,0.2761749377100566,-0.7681019850052861,0.7697807821135418,11.5,0.578,-1.5,0.2,15.4,5.2,0.4,1.6,10.6
Aaron Nesmith,2021,2,Defensive Anchor,0.07957062534762796,-1.2849561564913885,-1.2282276425037912,9.4,0.573,-3.2,-0.2,4.6,10.6,1.3,1.1,10.8
Aaron Nesmith,2022,4,Stretch Big,0.329323563864966,-2.297955631931045,-0.20341621450033234,7.3,0.507,-4.3,-0.3,5.4,8.4,0.8,1.7,13.8
Aaron Nesmith,2023,2,Defensive Anchor,0.09922688806167065,-1.2387415914520452,-0.761709617941247,10.5,0.566,-3.0,-0.4,7.4,8.5,1.6,1.4,10.3
Aaron Nesmith,2024,2,Defensive Anchor,0.298593763552965,0.36953519170980115,-0.7222924505040732,12.8,0.631,-0.5,0.8,6.6,7.8,2.0,1.5,8.4
Aaron Wiggins,2022,4,Stretch Big,0.12562977539100575,-1.8654655025314015,-0.4910750604017587,10.3,0.556,-4.3,-0.7,8.5,7.6,0.8,1.2,12.6
Aaron Wiggins,2023,2,Defensive Anchor,0.3039786007613577,-0.5178083763561883,-0.4996065920127726,12.2,0.607,-2.1,0.0,8.3,8.7,1.1,1.4,12.2
Aaron Wiggins,2024,0,Elite Scorer,0.03388143191278145,1.1986452622703934,0.11939407606966601,15.6,0.664,0.7,0.8,9.3,8.4,1.4,2.2,12.1
Abdel Nader,2018,4,Stretch Big,0.3626803766508062,-3.133895116071302,-0.14088748223470707,5.1,0.439,-5.3,-0.4,7.1,7.4,1.6,1.4,17.0
Abdel Nader,2019,4,Stretch Big,0.14386514999594585,-1.758011080299278,-0.8938982774117864,8.8,0.522,-3.2,-0.2,3.8,8.6,1.5,1.3,10.1
Abdel Nader,2020,2,Defensive Anchor,0.27429951463676194,-0.48793749472932374,-0.5765186916693008,11.3,0.591,-1.0,0.2,6.4,6.4,2.0,1.3,12.8
Abdel Nader,2021,2,Defensive Anchor,0.2508128816686352,0.3131961650942678,-0.8629376348019719,13.4,0.605,0.0,0.2,7.3,9.9,2.3,1.4,12.6
Admiral Schofield,2020,4,Stretch Big,0.23096989117900804,-2.8566442146237727,-0.8575294948365597,6.1,0.502,-5.5,-0.3,5.3,7.0,0.9,1.0,6.6
Admiral Schofield,2022,4,Stretch Big,0.19331063044106445,-2.310840108006038,-1.2199855455416,7.5,0.538,-5.4,-0.4,7.9,10.0,1.0,0.4,13.4
Admiral Schofield,2023,2,Defensive Anchor,0.19124551396162084,-1.1637379086871946,-0.6809922658145372,10.1,0.587,-2.9,-0.1,9.6,7.8,1.1,0.9,10.8
Admiral Schofield,2024,4,Stretch Big,0.2699789412917429,-2.5602930091074905,-0.3640103559460778,6.0,0.484,-4.9,-0.1,11.6,11.9,0.0,0.6,15.7
Adreian Payne,2016,4,Stretch Big,0.27315726566198384,-2.9145017077048045,-0.3879978707781255,5.6,0.422,-6.2,-0.5,8.9,13.3,1.8,1.7,18.7
Al Horford,2016,1,3-and-D Wing,0.19235649703249702,3.3792336862175416,0.07092616533603205,19.4,0.565,3.8,3.9,16.7,12.4,3.6,1.3,8.8
Al Horford,2017,1,3-and-D Wing,0.21347067217278407,2.722600128832743,0.682307780999084,17.7,0.553,3.4,3.0,24.4,11.8,3.2,1.2,11.8
Al Horford,2018,1,3-and-D Wing,0.2506515693500253,3.2610572465328644,0.655013188133058,17.6,0.575,4.4,3.7,23.6,12.7,2.9,0.9,14.1
Al Horford,2019,1,3-and-D Wing,0.24604008013141562,3.9923668340900424,0.3542750437714792,20.2,0.605,5.1,3.6,21.2,12.4,3.9,1.4,11.8
Al Horford,2020,2,Defensive Anchor,0.13900161258760638,1.7026523876144393,0.1837061516751275,15.7,0.536,2.2,2.2,19.2,12.4,2.6,1.2,9.7
