rank,Player,archetype,Age,salary,salary_pct_cap,PER_predicted,PTS_predicted,WS_predicted,output_score,salary_score,age_factor,archetype_bonus,trade_value,tv_tier
1,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
2,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
3,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
4,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
5,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
6,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
7,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
8,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
9,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.291258549566248,20.346603236886217,6.149597409565532,0.8704689868762533,1.0,0.93,0.1,100.81893147634969,Highly Undervalued
10,Pascal Siakam,Defensive Anchor,29.0,1000000.0,0.0073518059711368,19.053560430981538,21.82188299221128,5.629422208115834,0.861099938891847,1.0,0.93,0.1,98.99430573451733,Highly Undervalued
